,,,Punting,Punting,Punting,Punting
Rk,Tm,G,Pnt,Yds,Y/P,Blck
1,Baltimore Ravens,16,64,2990,46.7,0
2,Los Angeles Chargers,16,60,2663,44.4,0
3,Kansas City Chiefs,16,58,2539,43.8,0
4,Dallas Cowboys,16,69,3188,46.2,0
5,San Francisco 49ers,16,75,3555,47.4,0
6,Atlanta Falcons,16,58,2710,46.7,0
7,Houston Texans,16,56,2632,47.0,0
8,Tampa Bay Buccaneers,16,64,3006,47.0,0
9,Indianapolis Colts,16,55,2546,46.3,0
10,New Orleans Saints,16,73,3146,43.1,1
11,Minnesota Vikings,16,60,2763,46.1,1
12,Cleveland Browns,16,61,2777,45.5,0
13,Oakland Raiders,16,60,2811,46.9,0
14,Los Angeles Rams,16,73,3222,44.1,0
15,Miami Dolphins,16,57,2546,44.7,0
16,Philadelphia Eagles,16,86,3840,44.7,0
17,Arizona Cardinals,16,58,2523,43.5,0
18,New York Giants,16,71,3174,44.7,1
19,Seattle Seahawks,16,59,2661,45.1,1
20,Pittsburgh Steelers,16,73,3366,46.1,0
21,Jacksonville Jaguars,16,69,3141,45.5,0
22,Carolina Panthers,16,68,3099,45.6,1
23,Cincinnati Bengals,16,69,3073,44.5,0
24,Detroit Lions,16,65,2957,45.5,0
25,Green Bay Packers,16,67,2968,44.3,0
26,Tennessee Titans,16,71,3300,46.5,0
27,Denver Broncos,16,71,3303,46.5,0
28,Washington Redskins,16,58,2536,43.7,1
29,New England Patriots,16,90,3848,42.8,4
30,Buffalo Bills,16,84,3751,44.7,0
31,Chicago Bears,16,75,3443,45.9,0
32,New York Jets,16,82,3534,43.1,1
,Avg Team,,67.5,3050.3,45.2,0.3
,League Total,,2159,97611,45.2,11
,Avg Tm/G,,4.2,190.6,45.2,0.0
