,,,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Tm,G,Ret,Yds,TD,Y/R,Rt,Yds,TD,Y/Rt
1,Detroit Lions,16,29,130,0,4.5,52,1284,1,24.7
2,New York Jets,16,44,309,0,7.0,33,636,0,19.3
3,Pittsburgh Steelers,16,29,265,0,9.1,44,946,0,21.5
4,San Francisco 49ers,16,23,131,0,5.7,48,1046,0,21.8
5,Arizona Cardinals,16,35,284,1,8.1,36,743,0,20.6
6,Los Angeles Chargers,16,33,252,0,7.6,36,883,1,24.5
7,Tennessee Titans,16,30,269,0,9.0,37,877,0,23.7
8,Cleveland Browns,16,20,151,0,7.6,46,937,0,20.4
9,Houston Texans,16,24,82,0,3.4,39,725,0,18.6
10,Oakland Raiders,16,30,318,0,10.6,33,690,0,20.9
11,Baltimore Ravens,16,15,143,0,9.5,48,1030,1,21.5
12,Chicago Bears,16,35,247,0,7.1,27,675,0,25.0
13,Philadelphia Eagles,16,32,207,0,6.5,27,643,1,23.8
14,Seattle Seahawks,16,34,213,1,6.3,24,532,0,22.2
15,New England Patriots,16,28,175,0,6.3,29,607,0,20.9
16,Jacksonville Jaguars,16,24,127,0,5.3,32,690,0,21.6
17,Kansas City Chiefs,16,19,89,0,4.7,37,725,0,19.6
18,Washington Redskins,16,39,354,0,9.1,17,439,0,25.8
19,Green Bay Packers,16,26,233,0,9.0,29,702,0,24.2
20,Dallas Cowboys,16,18,154,0,8.6,35,815,0,23.3
21,Atlanta Falcons,16,19,133,0,7.0,31,690,0,22.3
22,Miami Dolphins,16,29,229,0,7.9,20,540,1,27.0
23,Denver Broncos,16,32,314,2,9.8,17,456,0,26.8
24,Buffalo Bills,16,18,157,0,8.7,30,691,1,23.0
25,Indianapolis Colts,16,28,166,0,5.9,19,470,0,24.7
26,New Orleans Saints,16,24,166,0,6.9,21,566,1,27.0
27,Carolina Panthers,16,40,487,3,12.2,5,102,0,20.4
28,New York Giants,16,24,136,0,5.7,20,361,0,18.1
29,Minnesota Vikings,16,23,158,0,6.9,21,527,0,25.1
30,Cincinnati Bengals,16,24,136,0,5.7,19,401,0,21.1
31,Los Angeles Rams,16,23,190,0,8.3,17,467,0,27.5
32,Tampa Bay Buccaneers,16,25,222,0,8.9,9,207,0,23.0
,Avg Team,,27.4,207.1,0.2,7.6,29.3,659.5,0.2,22.5
,League Total,,876,6627,7,7.6,938,21103,7,22.5
,Avg Tm/G,,1.7,12.9,0.0,7.6,1.8,41.2,0.0,22.5
