,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Tm,G,FGA,FGM,FG%,XPA,XPM,XP%
1,Washington Redskins,16,30,25,83.3%,48,46,95.8%
2,Jacksonville Jaguars,16,27,22,81.5%,45,43,95.6%
3,New York Jets,16,34,28,82.4%,33,29,87.9%
4,Cincinnati Bengals,16,34,30,88.2%,45,44,97.8%
5,New York Giants,16,32,25,78.1%,53,50,94.3%
6,Chicago Bears,16,30,23,76.7%,29,27,93.1%
7,Pittsburgh Steelers,16,31,25,80.6%,31,30,96.8%
8,Buffalo Bills,16,26,16,61.5%,25,21,84.0%
9,Miami Dolphins,16,38,31,81.6%,52,47,90.4%
10,Denver Broncos,16,39,34,87.2%,27,26,96.3%
11,Oakland Raiders,16,26,20,76.9%,51,51,100.0%
12,Philadelphia Eagles,16,27,23,85.2%,37,35,94.6%
13,Cleveland Browns,16,32,23,71.9%,44,42,95.5%
14,Green Bay Packers,16,32,27,84.4%,31,28,90.3%
15,Detroit Lions,16,34,27,79.4%,46,44,95.7%
16,Carolina Panthers,16,35,27,77.1%,50,49,98.0%
17,Los Angeles Chargers,16,33,23,69.7%,38,32,84.2%
18,Indianapolis Colts,16,31,29,93.5%,38,38,100.0%
19,Arizona Cardinals,16,32,27,84.4%,50,49,98.0%
20,Tennessee Titans,16,27,21,77.8%,35,30,85.7%
21,Houston Texans,16,26,21,80.8%,43,42,97.7%
22,Atlanta Falcons,16,34,30,88.2%,41,35,85.4%
23,Seattle Seahawks,16,35,25,71.4%,38,35,92.1%
24,Minnesota Vikings,16,33,29,87.9%,27,26,96.3%
25,Los Angeles Rams,16,30,24,80.0%,41,40,97.6%
26,New England Patriots,16,19,17,89.5%,25,24,96.0%
27,Tampa Bay Buccaneers,16,43,37,86.0%,39,38,97.4%
28,New Orleans Saints,16,24,22,91.7%,36,33,91.7%
29,Kansas City Chiefs,16,26,21,80.8%,27,23,85.2%
30,Dallas Cowboys,16,32,26,81.3%,31,29,93.5%
31,Baltimore Ravens,16,31,27,87.1%,24,21,87.5%
32,San Francisco 49ers,16,20,17,85.0%,30,29,96.7%
,Avg Team,,30.7,25.1,81.6%,37.8,35.5,93.9%
,League Total,,983,802,81.6%,1210,1136,93.9%
,Avg Tm/G,,1.9,1.6,81.6%,2.4,2.2,93.9%
