Tm,W,L,T,W-L%,Pts,PtsO,PtDif,MoV
Philadelphia Eagles,9,7,0,.563,385,354,31,1.9
Dallas Cowboys,8,8,0,.500,434,321,113,7.1
New York Giants,4,12,0,.250,341,451,-110,-6.9
Washington Redskins,3,13,0,.188,266,435,-169,-10.6
Green Bay Packers,13,3,0,.813,376,313,63,3.9
Minnesota Vikings,10,6,0,.625,407,303,104,6.5
Chicago Bears,8,8,0,.500,280,298,-18,-1.1
Detroit Lions,3,12,1,.219,341,423,-82,-5.1
New Orleans Saints,13,3,0,.813,458,341,117,7.3
Atlanta Falcons,7,9,0,.438,381,399,-18,-1.1
Tampa Bay Buccaneers,7,9,0,.438,458,449,9,0.6
Carolina Panthers,5,11,0,.313,340,470,-130,-8.1
San Francisco 49ers,13,3,0,.813,479,310,169,10.6
Seattle Seahawks,11,5,0,.688,405,398,7,0.4
Los Angeles Rams,9,7,0,.563,394,364,30,1.9
Arizona Cardinals,5,10,1,.344,361,442,-81,-5.1
