,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Tm,G,FGA,FGM,FG%,XPA,XPM,XP%
1,Oakland Raiders,16,37,31,83.8%,34,33,97.1%
2,Tampa Bay Buccaneers,16,30,22,73.3%,41,41,100.0%
3,Houston Texans,16,29,25,86.2%,40,39,97.5%
4,Minnesota Vikings,16,40,34,85.0%,31,31,100.0%
5,Cleveland Browns,16,31,26,83.9%,38,36,94.7%
6,Carolina Panthers,16,30,24,80.0%,31,31,100.0%
7,Buffalo Bills,16,26,22,84.6%,33,33,100.0%
8,Miami Dolphins,16,25,22,88.0%,31,31,100.0%
9,Tennessee Titans,16,33,27,81.8%,44,41,93.2%
10,Washington Redskins,16,34,30,88.2%,36,36,100.0%
11,New York Jets,16,24,18,75.0%,29,29,100.0%
12,Detroit Lions,16,33,30,90.9%,41,40,97.6%
13,Denver Broncos,16,42,34,81.0%,27,27,100.0%
14,Atlanta Falcons,16,29,23,79.3%,37,37,100.0%
15,San Francisco 49ers,16,32,30,93.8%,46,46,100.0%
16,New York Giants,16,29,22,75.9%,40,40,100.0%
17,Kansas City Chiefs,16,32,26,81.3%,33,33,100.0%
18,Seattle Seahawks,16,33,23,69.7%,36,36,100.0%
19,Baltimore Ravens,16,23,17,73.9%,20,20,100.0%
20,Green Bay Packers,16,27,26,96.3%,38,38,100.0%
21,Pittsburgh Steelers,16,27,21,77.8%,36,36,100.0%
22,Arizona Cardinals,16,34,31,91.2%,42,42,100.0%
23,New England Patriots,16,30,22,73.3%,23,23,100.0%
24,Philadelphia Eagles,16,28,26,92.9%,34,34,100.0%
25,St. Louis Rams,16,24,19,79.2%,46,46,100.0%
26,Cincinnati Bengals,16,25,18,72.0%,38,37,97.4%
27,New Orleans Saints,16,18,14,77.8%,40,40,100.0%
28,Jacksonville Jaguars,16,24,17,70.8%,31,31,100.0%
29,Dallas Cowboys,16,25,22,88.0%,38,38,100.0%
30,Indianapolis Colts,16,35,24,68.6%,40,40,100.0%
31,Chicago Bears,16,27,18,66.7%,28,27,96.4%
32,San Diego Chargers,16,26,23,88.5%,33,32,97.0%
,Avg Team,,29.4,24.0,81.4%,35.5,35.1,99.0%
,League Total,,942,767,81.4%,1135,1124,99.0%
,Avg Tm/G,,1.8,1.5,81.4%,2.2,2.2,99.0%
