,,,Downs,Downs,Downs,Downs,Downs,Downs,Red Zone,Red Zone,Red Zone
Rk,Tm,G,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
1,Baltimore Ravens,16,208,60,28.8%,23,9,39.1%,33,11,33.3%
2,New Orleans Saints,16,199,69,34.7%,13,6,46.2%,41,22,53.7%
3,Carolina Panthers,16,222,70,31.5%,14,11,78.6%,43,24,55.8%
4,Green Bay Packers,16,215,70,32.6%,21,13,61.9%,45,23,51.1%
5,Chicago Bears,16,239,74,31.0%,16,10,62.5%,40,19,47.5%
6,Minnesota Vikings,16,215,74,34.4%,13,7,53.8%,46,17,37.0%
7,New England Patriots,16,209,75,35.9%,11,3,27.3%,35,12,34.3%
8,New York Jets,16,208,76,36.5%,23,12,52.2%,46,24,52.2%
9,San Diego Chargers,16,213,78,36.6%,17,6,35.3%,47,27,57.4%
10,Buffalo Bills,16,216,79,36.6%,17,11,64.7%,45,24,53.3%
11,Oakland Raiders,16,221,79,35.7%,19,10,52.6%,62,27,43.5%
12,Seattle Seahawks,16,219,80,36.5%,12,6,50.0%,44,25,56.8%
13,Denver Broncos,16,221,81,36.7%,14,5,35.7%,54,24,44.4%
14,Tampa Bay Buccaneers,16,217,82,37.8%,12,5,41.7%,48,27,56.3%
15,Jacksonville Jaguars,16,227,83,36.6%,14,4,28.6%,32,14,43.8%
16,Kansas City Chiefs,16,212,83,39.2%,13,8,61.5%,44,24,54.5%
17,Arizona Cardinals,16,201,83,41.3%,15,7,46.7%,58,28,48.3%
18,Philadelphia Eagles,16,222,83,37.4%,21,10,47.6%,43,21,48.8%
19,Pittsburgh Steelers,16,219,86,39.3%,12,6,50.0%,45,21,46.7%
20,Atlanta Falcons,16,207,87,42.0%,10,4,40.0%,50,25,50.0%
21,Houston Texans,16,198,88,44.4%,11,5,45.5%,49,25,51.0%
22,Cincinnati Bengals,16,211,88,41.7%,21,11,52.4%,52,29,55.8%
23,Miami Dolphins,16,234,89,38.0%,16,9,56.3%,36,15,41.7%
24,Tennessee Titans,16,221,90,40.7%,17,10,58.8%,62,36,58.1%
25,Detroit Lions,16,207,90,43.5%,5,4,80.0%,60,32,53.3%
26,Indianapolis Colts,16,191,90,47.1%,14,11,78.6%,51,30,58.8%
27,St. Louis Rams,16,205,93,45.4%,6,2,33.3%,55,31,56.4%
28,Dallas Cowboys,16,212,93,43.9%,16,8,50.0%,48,25,52.1%
29,San Francisco 49ers,16,216,96,44.4%,14,7,50.0%,62,32,51.6%
30,New York Giants,16,226,97,42.9%,24,9,37.5%,46,30,65.2%
31,Washington Redskins,16,222,97,43.7%,9,6,66.7%,48,23,47.9%
32,Cleveland Browns,16,228,100,43.9%,10,4,40.0%,51,26,51.0%
,League Total,,,,,,,,,,
