,,,Punting,Punting,Punting,Punting
Rk,Tm,G,Pnt,Yds,Y/P,Blck
1,Indianapolis Colts,16,47,2035,43.3,
2,Dallas Cowboys,16,72,3103,43.1,
3,Pittsburgh Steelers,16,86,3767,43.8,
4,Detroit Lions,16,68,2992,44.0,
5,New England Patriots,16,79,3286,41.6,
6,San Diego Chargers,16,88,3925,44.6,
7,Arizona Cardinals,16,58,2598,44.8,
8,Kansas City Chiefs,16,75,3060,40.8,
9,Jacksonville Jaguars,16,90,3726,41.4,
10,New York Jets,16,74,3263,44.1,
11,Houston Texans,16,65,2951,45.4,
12,Cincinnati Bengals,16,72,3132,43.5,
13,Chicago Bears,16,100,4370,43.7,
14,St. Louis Rams,16,67,3028,45.2,
15,New York Giants,16,69,2891,41.9,
16,New Orleans Saints,16,96,4186,43.6,
17,Philadelphia Eagles,16,82,3567,43.5,
18,Oakland Raiders,16,68,2822,41.5,
19,Atlanta Falcons,16,77,3380,43.9,
20,Denver Broncos,16,74,3241,43.8,
21,San Francisco 49ers,16,66,2792,42.3,
22,Cleveland Browns,16,77,3311,43.0,
23,Washington Redskins,16,79,3318,42.0,
24,Green Bay Packers,16,83,3702,44.6,
25,Baltimore Ravens,16,86,3861,44.9,
26,Seattle Seahawks,16,88,3775,42.9,
27,Miami Dolphins,16,91,3786,41.6,
28,Tennessee Titans,16,68,2890,42.5,
29,Buffalo Bills,16,86,3578,41.6,
30,Tampa Bay Buccaneers,16,81,3370,41.6,
31,Minnesota Vikings,16,79,3587,45.4,
32,Carolina Panthers,16,98,4292,43.8,
,Avg Team,,77.8,3377.7,43.4,0.4
,League Total,,2489,108086,43.4,12
,Avg Tm/G,,4.9,211.1,43.4,0.0
