Tm,W,L,W-L%,Pts,PtsO,PtDif,MoV
Dallas Cowboys,13,3,.813,455,325,130,8.1
New York Giants,10,6,.625,373,351,22,1.4
Washington Redskins,9,7,.563,334,310,24,1.5
Philadelphia Eagles,8,8,.500,336,300,36,2.3
Green Bay Packers,13,3,.813,435,291,144,9.0
Minnesota Vikings,8,8,.500,365,311,54,3.4
Detroit Lions,7,9,.438,346,444,-98,-6.1
Chicago Bears,7,9,.438,334,348,-14,-0.9
Tampa Bay Buccaneers,9,7,.563,334,270,64,4.0
Carolina Panthers,7,9,.438,267,347,-80,-5.0
New Orleans Saints,7,9,.438,379,388,-9,-0.6
Atlanta Falcons,4,12,.250,259,414,-155,-9.7
Seattle Seahawks,10,6,.625,393,291,102,6.4
Arizona Cardinals,8,8,.500,404,399,5,0.3
San Francisco 49ers,5,11,.313,219,364,-145,-9.1
St. Louis Rams,3,13,.188,263,438,-175,-10.9
