Rk,Tm,G,Att,Yds,TD,Y/A,Y/G,EXP
1,Minnesota Vikings,16,379,1185,7,3.1,74.1,128.65
2,Baltimore Ravens,16,446,1268,9,2.8,79.3,130.31
3,Pittsburgh Steelers,16,361,1438,6,4.0,89.9,84.66
4,Washington Redskins,16,391,1460,10,3.7,91.3,51.26
5,Tennessee Titans,16,369,1478,11,4.0,92.4,42.87
6,Dallas Cowboys,16,381,1513,12,4.0,94.6,72.35
7,Philadelphia Eagles,16,403,1533,10,3.8,95.8,85.54
8,New York Giants,16,408,1563,12,3.8,97.7,82.28
9,Arizona Cardinals,16,407,1567,13,3.9,97.9,83.90
10,New England Patriots,16,360,1572,7,4.4,98.3,7.78
11,Jacksonville Jaguars,16,390,1605,12,4.1,100.3,85.54
12,Seattle Seahawks,16,422,1644,16,3.9,102.8,85.10
13,New Orleans Saints,16,408,1646,7,4.0,102.9,96.56
14,Green Bay Packers,16,424,1647,6,3.9,102.9,60.99
15,Indianapolis Colts,16,454,1711,10,3.8,106.9,55.96
16,San Diego Chargers,16,416,1712,11,4.1,107.0,72.46
17,Tampa Bay Buccaneers,16,454,1726,11,3.8,107.9,74.32
18,Carolina Panthers,16,472,1771,13,3.8,110.7,98.10
19,Houston Texans,16,417,1825,15,4.4,114.1,18.57
20,St. Louis Rams,16,445,1844,16,4.1,115.3,65.33
21,Cincinnati Bengals,16,449,1893,11,4.2,118.3,86.97
22,San Francisco 49ers,16,504,1896,9,3.8,118.5,102.54
23,Detroit Lions,16,448,1911,19,4.3,119.4,77.71
24,Chicago Bears,16,454,1967,17,4.3,122.9,84.38
25,Buffalo Bills,16,454,1993,15,4.4,124.6,91.55
26,Atlanta Falcons,16,481,2033,12,4.2,127.1,18.15
27,Cleveland Browns,16,460,2072,8,4.5,129.5,55.00
28,Kansas City Chiefs,16,481,2089,11,4.3,130.6,97.60
29,New York Jets,16,517,2156,14,4.2,134.8,67.75
30,Denver Broncos,16,501,2282,14,4.6,142.6,60.09
31,Oakland Raiders,16,486,2334,24,4.8,145.9,-9.77
32,Miami Dolphins,16,544,2456,18,4.5,153.5,31.20
,Avg Team,,437.1,1774.7,12.1,4.1,110.9,70.2
,League Total,,13986,56790,386,4.1,110.9,
,Avg Tm/G,,27.3,110.9,0.8,4.1,110.9,
