,,,Punting,Punting,Punting,Punting
Rk,Tm,G,Pnt,Yds,Y/P,Blck
1,New England Patriots,16,76,3298,43.4,
2,Indianapolis Colts,16,56,2475,44.2,
3,Jacksonville Jaguars,16,66,2871,43.5,
4,Houston Texans,16,59,2537,43.0,
5,Cincinnati Bengals,16,58,2303,39.7,
6,Denver Broncos,16,60,2634,43.9,
7,Dallas Cowboys,16,73,3285,45.0,
8,New Orleans Saints,16,67,2921,43.6,
9,Green Bay Packers,16,80,3400,42.5,
10,Detroit Lions,16,61,2739,44.9,
11,Pittsburgh Steelers,16,82,3526,43.0,
12,Cleveland Browns,16,69,2774,40.2,
13,Philadelphia Eagles,16,76,3162,41.6,
14,Tennessee Titans,16,81,3613,44.6,
15,New York Jets,16,68,2904,42.7,
16,New York Giants,16,87,3628,41.7,
17,Oakland Raiders,16,71,3046,42.9,
18,Washington Redskins,16,81,3483,43.0,
19,Miami Dolphins,16,62,2685,43.3,
20,St. Louis Rams,16,66,3148,47.7,
21,Tampa Bay Buccaneers,16,83,3610,43.5,
22,Baltimore Ravens,16,76,3276,43.1,
23,Minnesota Vikings,16,82,3780,46.1,
24,Arizona Cardinals,16,73,3183,43.6,
25,Buffalo Bills,16,61,2599,42.6,
26,San Diego Chargers,16,69,2960,42.9,
27,Seattle Seahawks,16,93,4324,46.5,
28,Atlanta Falcons,16,74,3064,41.4,
29,Carolina Panthers,16,76,3245,42.7,
30,Chicago Bears,16,94,3807,40.5,
31,Kansas City Chiefs,16,84,3763,44.8,
32,San Francisco 49ers,16,89,3640,40.9,
,Avg Team,,73.5,3193.5,43.4,0.4
,League Total,,2353,102192,43.4,12
,Avg Tm/G,,4.6,199.6,43.4,0.0
