,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Tm,G,FGA,FGM,FG%,XPA,XPM,XP%
1,Jacksonville Jaguars,16,29,26,89.7%,53,53,100.0%
2,New York Giants,16,30,29,96.7%,40,40,100.0%
3,Washington Redskins,16,25,21,84.0%,59,59,100.0%
4,Cleveland Browns,16,32,27,84.4%,43,43,100.0%
5,Tampa Bay Buccaneers,16,32,31,96.9%,40,40,100.0%
6,Houston Texans,16,35,30,85.7%,46,46,100.0%
7,St. Louis Rams,16,26,18,69.2%,42,42,100.0%
8,New York Jets,16,37,33,89.2%,40,40,100.0%
9,Atlanta Falcons,16,35,34,97.1%,47,47,100.0%
10,Baltimore Ravens,16,35,32,91.4%,34,34,100.0%
11,Oakland Raiders,16,28,25,89.3%,52,52,100.0%
12,Detroit Lions,16,40,37,92.5%,29,29,100.0%
13,Miami Dolphins,16,40,34,85.0%,33,33,100.0%
14,Buffalo Bills,16,36,31,86.1%,41,41,100.0%
15,Carolina Panthers,16,34,30,88.2%,19,19,100.0%
16,Tennessee Titans,16,39,32,82.1%,38,37,97.4%
17,Pittsburgh Steelers,16,31,28,90.3%,39,38,97.4%
18,Philadelphia Eagles,16,32,27,84.4%,36,35,97.2%
19,Arizona Cardinals,16,32,25,78.1%,33,33,100.0%
20,Minnesota Vikings,16,29,27,93.1%,53,53,100.0%
21,Indianapolis Colts,16,30,23,76.7%,37,37,100.0%
22,Cincinnati Bengals,16,31,26,83.9%,31,31,100.0%
23,Chicago Bears,16,30,28,93.3%,54,54,100.0%
24,Dallas Cowboys,16,29,25,86.2%,48,47,97.9%
25,San Diego Chargers,16,30,23,76.7%,39,39,100.0%
26,Seattle Seahawks,16,27,26,96.3%,17,17,100.0%
27,Green Bay Packers,16,30,24,80.0%,49,48,98.0%
28,New Orleans Saints,16,28,24,85.7%,32,32,100.0%
29,Kansas City Chiefs,16,28,22,78.6%,33,33,100.0%
30,San Francisco 49ers,16,25,20,80.0%,28,28,100.0%
31,New England Patriots,16,27,22,81.5%,38,38,100.0%
32,Denver Broncos,16,26,23,88.5%,44,44,100.0%
,Avg Team,,31.2,27.0,86.5%,39.6,39.4,99.6%
,League Total,,998,863,86.5%,1267,1262,99.6%
,Avg Tm/G,,1.9,1.7,86.5%,2.5,2.5,99.6%
