,,,Downs,Downs,Downs,Downs,Downs,Downs,Red Zone,Red Zone,Red Zone
Rk,Tm,G,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
1,Tennessee Titans,16,186,62,33.3%,12,9,75.0%,54,31,57.4%
2,Pittsburgh Steelers,16,193,63,32.6%,13,7,53.8%,33,16,48.5%
3,Denver Broncos,16,209,65,31.1%,14,5,35.7%,41,20,48.8%
4,Arizona Cardinals,16,209,66,31.6%,14,8,57.1%,51,23,45.1%
5,Chicago Bears,16,220,67,30.5%,15,4,26.7%,54,23,42.6%
6,San Diego Chargers,16,196,69,35.2%,24,13,54.2%,54,27,50.0%
7,Green Bay Packers,16,197,69,35.0%,9,5,55.6%,44,28,63.6%
8,Washington Redskins,16,226,70,31.0%,17,7,41.2%,37,19,51.4%
9,Kansas City Chiefs,16,185,71,38.4%,16,5,31.3%,54,34,63.0%
10,Atlanta Falcons,16,200,72,36.0%,16,10,62.5%,49,31,63.3%
11,Miami Dolphins,16,223,72,32.3%,11,8,72.7%,42,23,54.8%
12,Baltimore Ravens,16,218,75,34.4%,8,2,25.0%,45,18,40.0%
13,Dallas Cowboys,16,192,75,39.1%,7,2,28.6%,45,32,71.1%
14,St. Louis Rams,16,209,76,36.4%,17,12,70.6%,56,31,55.4%
15,Buffalo Bills,16,214,77,36.0%,15,11,73.3%,46,20,43.5%
16,Tampa Bay Buccaneers,16,218,77,35.3%,8,3,37.5%,40,19,47.5%
17,Cleveland Browns,16,216,78,36.1%,16,7,43.8%,53,31,58.5%
18,New York Jets,16,208,79,38.0%,13,5,38.5%,41,20,48.8%
19,New Orleans Saints,16,210,80,38.1%,7,6,85.7%,60,31,51.7%
20,Cincinnati Bengals,16,218,80,36.7%,15,5,33.3%,52,25,48.1%
21,New England Patriots,16,209,81,38.8%,30,13,43.3%,49,20,40.8%
22,Philadelphia Eagles,16,229,82,35.8%,19,9,47.4%,46,22,47.8%
23,San Francisco 49ers,16,206,83,40.3%,9,6,66.7%,60,36,60.0%
24,Jacksonville Jaguars,16,206,84,40.8%,10,5,50.0%,47,18,38.3%
25,New York Giants,16,208,87,41.8%,14,6,42.9%,50,36,72.0%
26,Houston Texans,16,205,89,43.4%,6,1,16.7%,44,25,56.8%
27,Minnesota Vikings,16,196,90,45.9%,16,10,62.5%,63,37,58.7%
28,Indianapolis Colts,16,217,91,41.9%,28,9,32.1%,46,22,47.8%
29,Seattle Seahawks,16,229,97,42.4%,9,6,66.7%,51,29,56.9%
30,Detroit Lions,16,231,98,42.4%,19,7,36.8%,45,24,53.3%
31,Carolina Panthers,16,215,99,46.0%,12,6,50.0%,50,27,54.0%
32,Oakland Raiders,16,213,101,47.4%,15,7,46.7%,56,41,73.2%
,League Total,,,,,,,,,,
