,,,Downs,Downs,Downs,Downs,Downs,Downs,Red Zone,Red Zone,Red Zone
Rk,Tm,G,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
1,Detroit Lions,16,205,67,32.7%,19,8,42.1%,53,26,49.1%
2,New Orleans Saints,16,202,67,33.2%,22,6,27.3%,39,23,59.0%
3,New York Jets,16,211,69,32.7%,10,1,10.0%,44,23,52.3%
4,Baltimore Ravens,16,221,71,32.1%,21,10,47.6%,42,16,38.1%
5,Arizona Cardinals,16,226,71,31.4%,8,4,50.0%,58,23,39.7%
6,Kansas City Chiefs,16,210,72,34.3%,16,7,43.8%,51,28,54.9%
7,Tampa Bay Buccaneers,16,185,73,39.5%,13,9,69.2%,70,40,57.1%
8,Denver Broncos,16,218,73,33.5%,9,3,33.3%,52,27,51.9%
9,Miami Dolphins,16,219,74,33.8%,14,7,50.0%,52,23,44.2%
10,Buffalo Bills,16,189,75,39.7%,13,9,69.2%,59,38,64.4%
11,Philadelphia Eagles,16,211,75,35.5%,17,7,41.2%,47,28,59.6%
12,San Francisco 49ers,16,216,76,35.2%,17,7,41.2%,34,14,41.2%
13,Houston Texans,16,212,76,35.8%,13,6,46.2%,44,21,47.7%
14,Washington Redskins,16,206,77,37.4%,10,4,40.0%,57,25,43.9%
15,Seattle Seahawks,16,221,77,34.8%,11,7,63.6%,39,19,48.7%
16,Cincinnati Bengals,16,220,78,35.5%,11,4,36.4%,41,24,58.5%
17,Jacksonville Jaguars,16,218,79,36.2%,9,4,44.4%,43,24,55.8%
18,Chicago Bears,16,229,80,34.9%,17,7,41.2%,56,25,44.6%
19,Dallas Cowboys,16,204,81,39.7%,11,4,36.4%,49,27,55.1%
20,Green Bay Packers,16,195,83,42.6%,16,4,25.0%,56,31,55.4%
21,Carolina Panthers,16,194,83,42.8%,12,4,33.3%,56,33,58.9%
22,St. Louis Rams,16,216,83,38.4%,8,5,62.5%,52,26,50.0%
23,New York Giants,16,220,84,38.2%,18,10,55.6%,61,34,55.7%
24,Pittsburgh Steelers,16,221,86,38.9%,13,8,61.5%,31,17,54.8%
25,New England Patriots,16,202,87,43.1%,19,8,42.1%,61,34,55.7%
26,Minnesota Vikings,16,208,92,44.2%,9,5,55.6%,56,29,51.8%
27,Oakland Raiders,16,219,92,42.0%,14,4,28.6%,51,30,58.8%
28,Atlanta Falcons,16,211,93,44.1%,11,6,54.5%,47,22,46.8%
29,Cleveland Browns,16,230,95,41.3%,14,6,42.9%,49,20,40.8%
30,San Diego Chargers,16,195,96,49.2%,9,1,11.1%,49,29,59.2%
31,Tennessee Titans,16,236,96,40.7%,20,8,40.0%,48,23,47.9%
32,Indianapolis Colts,16,216,98,45.4%,6,3,50.0%,57,35,61.4%
,League Total,,,,,,,,,,
