,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Tm,G,FGA,FGM,FG%,XPA,XPM,XP%
1,St. Louis Rams,16,37,31,83.8%,44,44,100.0%
2,Cleveland Browns,16,34,30,88.2%,31,31,100.0%
3,Jacksonville Jaguars,16,29,22,75.9%,36,35,97.2%
4,Kansas City Chiefs,16,28,23,82.1%,37,37,100.0%
5,Tampa Bay Buccaneers,16,29,23,79.3%,60,59,98.3%
6,Indianapolis Colts,16,34,29,85.3%,49,49,100.0%
7,Denver Broncos,16,39,32,82.1%,40,40,100.0%
8,Arizona Cardinals,16,48,35,72.9%,33,33,100.0%
9,Seattle Seahawks,16,37,28,75.7%,32,31,96.9%
10,Tennessee Titans,16,28,27,96.4%,32,32,100.0%
11,Minnesota Vikings,16,35,32,91.4%,49,49,100.0%
12,Washington Redskins,16,41,34,82.9%,38,37,97.4%
13,Pittsburgh Steelers,16,27,22,81.5%,21,21,100.0%
14,New York Giants,16,31,25,80.6%,45,45,100.0%
15,Chicago Bears,16,36,30,83.3%,33,33,100.0%
16,New York Jets,16,30,29,96.7%,38,38,100.0%
17,Miami Dolphins,16,33,26,78.8%,31,31,100.0%
18,Oakland Raiders,16,29,21,72.4%,53,52,98.1%
19,Buffalo Bills,16,25,21,84.0%,52,51,98.1%
20,Cincinnati Bengals,16,27,22,81.5%,35,35,100.0%
21,Philadelphia Eagles,16,24,16,66.7%,38,38,100.0%
22,Carolina Panthers,16,31,27,87.1%,48,48,100.0%
23,Atlanta Falcons,16,28,23,82.1%,37,37,100.0%
24,Dallas Cowboys,16,33,26,78.8%,35,35,100.0%
25,Houston Texans,16,36,30,83.3%,22,22,100.0%
26,Baltimore Ravens,16,31,28,90.3%,26,26,100.0%
27,San Diego Chargers,16,28,25,89.3%,40,40,100.0%
28,Detroit Lions,16,34,30,88.2%,41,41,100.0%
29,San Francisco 49ers,16,27,22,81.5%,21,21,100.0%
30,New England Patriots,16,23,20,87.0%,38,38,100.0%
31,Green Bay Packers,16,27,22,81.5%,35,35,100.0%
32,New Orleans Saints,16,32,27,84.4%,37,36,97.3%
,Avg Team,,31.6,26.2,82.9%,37.7,37.5,99.4%
,League Total,,1011,838,82.9%,1207,1200,99.4%
,Avg Tm/G,,2.0,1.6,82.9%,2.4,2.3,99.4%
