Tm,W,L,W-L%,Pts,PtsO,PtDif,MoV
New England Patriots,14,2,.875,437,260,177,11.1
New York Jets,10,6,.625,333,261,72,4.5
Buffalo Bills,9,7,.563,395,284,111,6.9
Miami Dolphins,4,12,.250,275,354,-79,-4.9
Pittsburgh Steelers,15,1,.938,372,251,121,7.6
Baltimore Ravens,9,7,.563,317,268,49,3.1
Cincinnati Bengals,8,8,.500,374,372,2,0.1
Cleveland Browns,4,12,.250,276,390,-114,-7.1
Indianapolis Colts,12,4,.750,522,351,171,10.7
Jacksonville Jaguars,9,7,.563,261,280,-19,-1.2
Houston Texans,7,9,.438,309,339,-30,-1.9
Tennessee Titans,5,11,.313,344,439,-95,-5.9
San Diego Chargers,12,4,.750,446,313,133,8.3
Denver Broncos,10,6,.625,381,304,77,4.8
Kansas City Chiefs,7,9,.438,483,435,48,3.0
Oakland Raiders,5,11,.313,320,442,-122,-7.6
