Tm,W,L,W-L%,Pts,PtsO,PtDif,MoV
Philadelphia Eagles,13,3,.813,386,260,126,7.9
New York Giants,6,10,.375,303,347,-44,-2.8
Dallas Cowboys,6,10,.375,293,405,-112,-7.0
Washington Redskins,6,10,.375,240,265,-25,-1.6
Green Bay Packers,10,6,.625,424,380,44,2.8
Minnesota Vikings,8,8,.500,405,395,10,0.6
Detroit Lions,6,10,.375,296,350,-54,-3.4
Chicago Bears,5,11,.313,231,331,-100,-6.3
Atlanta Falcons,11,5,.688,340,337,3,0.2
New Orleans Saints,8,8,.500,348,405,-57,-3.6
Carolina Panthers,7,9,.438,355,339,16,1.0
Tampa Bay Buccaneers,5,11,.313,301,304,-3,-0.2
Seattle Seahawks,9,7,.563,371,373,-2,-0.1
St. Louis Rams,8,8,.500,319,392,-73,-4.6
Arizona Cardinals,6,10,.375,284,322,-38,-2.4
San Francisco 49ers,2,14,.125,259,452,-193,-12.1
