Rk,Tm,G,Att,Yds,TD,Y/A,Y/G,EXP
1,Pittsburgh Steelers,16,357,1299,8,3.6,81.2,82.72
2,Washington Redskins,16,419,1304,7,3.1,81.5,124.06
3,San Diego Chargers,16,355,1307,15,3.7,81.7,46.97
4,Denver Broncos,16,396,1512,16,3.8,94.5,60.67
5,New York Jets,16,432,1566,8,3.6,97.9,114.93
6,New England Patriots,16,405,1572,9,3.9,98.3,116.09
7,Buffalo Bills,16,447,1604,6,3.6,100.3,138.45
8,Atlanta Falcons,16,434,1681,20,3.9,105.1,50.12
9,Baltimore Ravens,16,469,1681,9,3.6,105.1,114.64
10,Dallas Cowboys,16,425,1764,14,4.2,110.3,73.41
11,Jacksonville Jaguars,16,438,1777,7,4.1,111.1,74.27
12,Kansas City Chiefs,16,397,1834,18,4.6,114.6,37.18
13,Houston Texans,16,417,1843,4,4.4,115.2,49.34
14,Green Bay Packers,16,409,1878,12,4.6,117.4,73.47
15,Detroit Lions,16,498,1887,10,3.8,117.9,84.53
16,Philadelphia Eagles,16,442,1903,13,4.3,118.9,57.90
17,Carolina Panthers,16,474,1904,19,4.0,119.0,110.74
18,Tennessee Titans,16,421,1917,18,4.6,119.8,55.99
19,Tampa Bay Buccaneers,16,480,1973,8,4.1,123.3,101.99
20,San Francisco 49ers,16,495,1995,22,4.0,124.7,80.19
21,Minnesota Vikings,16,435,2006,15,4.6,125.4,59.37
22,Oakland Raiders,16,537,2012,21,3.7,125.8,132.04
23,Seattle Seahawks,16,452,2031,17,4.5,126.9,52.01
24,Indianapolis Colts,16,440,2037,12,4.6,127.3,40.75
25,Chicago Bears,16,496,2050,9,4.1,128.1,111.96
26,Cincinnati Bengals,16,474,2062,11,4.4,128.9,63.43
27,Arizona Cardinals,16,450,2105,12,4.7,131.6,100.96
28,New York Giants,16,498,2157,13,4.3,134.8,85.30
29,St. Louis Rams,16,480,2179,13,4.5,136.2,-0.63
30,New Orleans Saints,16,485,2253,16,4.6,140.8,48.98
31,Miami Dolphins,16,539,2302,12,4.3,143.9,97.25
32,Cleveland Browns,16,532,2314,22,4.3,144.6,52.99
,Avg Team,,450.9,1865.9,13.0,4.1,116.6,77.9
,League Total,,14428,59709,416,4.1,116.6,
,Avg Tm/G,,28.2,116.6,0.8,4.1,116.6,
