,,,Punting,Punting,Punting,Punting
Rk,Tm,G,Pnt,Yds,Y/P,Blck
1,New York Giants,16,54,2426,44.9,0
2,New England Patriots,16,67,3372,50.3,0
3,Atlanta Falcons,16,64,3065,47.9,0
4,Seattle Seahawks,16,78,3515,45.1,1
5,San Francisco 49ers,16,79,3609,45.7,1
6,Denver Broncos,16,94,4524,48.1,1
7,Dallas Cowboys,16,74,3362,45.4,0
8,Minnesota Vikings,16,76,3344,44.0,0
9,Washington Redskins,16,65,3018,46.4,0
10,Green Bay Packers,16,75,3350,44.7,1
11,Philadelphia Eagles,16,78,3410,43.7,1
12,New Orleans Saints,16,63,2876,45.7,1
13,Indianapolis Colts,16,71,3340,47.0,0
14,Miami Dolphins,16,86,3815,44.4,1
15,Cincinnati Bengals,16,86,3816,44.4,1
16,Detroit Lions,16,79,3626,45.9,0
17,Tampa Bay Buccaneers,16,79,3563,45.1,4
18,Carolina Panthers,16,67,3073,45.9,0
19,Buffalo Bills,16,72,3210,44.6,0
20,Pittsburgh Steelers,16,88,3979,45.2,0
21,Chicago Bears,16,89,3883,43.6,1
22,St. Louis Rams,16,73,3231,44.3,1
23,Kansas City Chiefs,16,74,3460,46.8,1
24,Baltimore Ravens,16,89,4113,46.2,0
25,Oakland Raiders,16,69,3171,46.0,1
26,Tennessee Titans,16,70,3084,44.1,1
27,San Diego Chargers,16,80,3635,45.4,1
28,New York Jets,16,89,3947,44.3,0
29,Houston Texans,16,92,4176,45.4,2
30,Cleveland Browns,16,88,4044,46.0,0
31,Jacksonville Jaguars,16,68,3131,46.0,1
32,Arizona Cardinals,16,93,4166,44.8,1
,Avg Team,,77.2,3509.8,45.5,0.7
,League Total,,2469,112314,45.5,21
,Avg Tm/G,,4.8,219.4,45.5,0.0
