Tm,W,L,T,W-L%,Pts,PtsO,PtDif,MoV
New England Patriots,12,4,0,.750,557,331,226,14.1
Miami Dolphins,7,9,0,.438,288,317,-29,-1.8
New York Jets,6,10,0,.375,281,375,-94,-5.9
Buffalo Bills,6,10,0,.375,344,435,-91,-5.7
Baltimore Ravens,10,6,0,.625,398,344,54,3.4
Cincinnati Bengals,10,6,0,.625,391,320,71,4.4
Pittsburgh Steelers,8,8,0,.500,336,314,22,1.4
Cleveland Browns,5,11,0,.313,302,368,-66,-4.1
Houston Texans,12,4,0,.750,416,331,85,5.3
Indianapolis Colts,11,5,0,.688,357,387,-30,-1.9
Tennessee Titans,6,10,0,.375,330,471,-141,-8.8
Jacksonville Jaguars,2,14,0,.125,255,444,-189,-11.8
Denver Broncos,13,3,0,.813,481,289,192,12.0
San Diego Chargers,7,9,0,.438,350,350,0,0.0
Oakland Raiders,4,12,0,.250,290,443,-153,-9.6
Kansas City Chiefs,2,14,0,.125,211,425,-214,-13.4
