,,,Downs,Downs,Downs,Downs,Downs,Downs,Red Zone,Red Zone,Red Zone
Rk,Tm,G,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
1,Denver Broncos,16,216,66,30.6%,18,7,38.9%,41,24,58.5%
2,San Francisco 49ers,16,215,71,33.0%,25,14,56.0%,36,22,61.1%
3,Houston Texans,16,215,71,33.0%,16,5,31.3%,40,20,50.0%
4,Carolina Panthers,16,202,73,36.1%,19,10,52.6%,50,27,54.0%
5,Pittsburgh Steelers,16,206,73,35.4%,11,8,72.7%,42,22,52.4%
6,Arizona Cardinals,16,222,73,32.9%,9,4,44.4%,45,20,44.4%
7,Indianapolis Colts,16,197,75,38.1%,7,3,42.9%,53,27,50.9%
8,Seattle Seahawks,16,198,76,38.4%,10,3,30.0%,38,17,44.7%
9,Detroit Lions,16,208,76,36.5%,6,5,83.3%,39,20,51.3%
10,Chicago Bears,16,220,78,35.5%,16,10,62.5%,41,21,51.2%
11,Cincinnati Bengals,16,219,79,36.1%,12,5,41.7%,41,21,51.2%
12,Kansas City Chiefs,16,202,79,39.1%,4,3,75.0%,64,34,53.1%
13,St. Louis Rams,16,213,80,37.6%,16,6,37.5%,53,27,50.9%
14,New Orleans Saints,16,208,80,38.5%,19,10,52.6%,70,39,55.7%
15,Dallas Cowboys,16,202,81,40.1%,11,6,54.5%,55,30,54.5%
16,Atlanta Falcons,16,200,81,40.5%,13,6,46.2%,42,19,45.2%
17,New England Patriots,16,205,82,40.0%,23,9,39.1%,46,24,52.2%
18,Baltimore Ravens,16,232,83,35.8%,12,6,50.0%,53,23,43.4%
19,Oakland Raiders,16,212,83,39.2%,14,8,57.1%,54,30,55.6%
20,Philadelphia Eagles,16,203,83,40.9%,10,2,20.0%,55,30,54.5%
21,Green Bay Packers,16,218,83,38.1%,23,9,39.1%,47,29,61.7%
22,New York Jets,16,226,84,37.2%,15,12,80.0%,41,24,58.5%
23,New York Giants,16,198,84,42.4%,21,10,47.6%,50,23,46.0%
24,Tennessee Titans,16,214,85,39.7%,14,6,42.9%,58,37,63.8%
25,Cleveland Browns,16,223,85,38.1%,11,7,63.6%,53,30,56.6%
26,Miami Dolphins,16,238,87,36.6%,17,12,70.6%,54,23,42.6%
27,Tampa Bay Buccaneers,16,219,88,40.2%,14,6,42.9%,54,30,55.6%
28,Jacksonville Jaguars,16,215,89,41.4%,9,4,44.4%,66,35,53.0%
29,San Diego Chargers,16,214,90,42.1%,10,4,40.0%,40,28,70.0%
30,Buffalo Bills,16,209,92,44.0%,12,6,50.0%,55,38,69.1%
31,Washington Redskins,16,215,95,44.2%,14,8,57.1%,52,30,57.7%
32,Minnesota Vikings,16,230,95,41.3%,20,11,55.0%,51,31,60.8%
,League Total,,,,,,,,,,
