,,,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Tm,G,Ret,Yds,TD,Y/R,Rt,Yds,TD,Y/Rt
1,Tennessee Titans,17,59,636,0,10.8,32,648,0,20.3
2,New England Patriots,17,34,267,0,7.9,52,1333,3,25.6
3,Houston Texans,17,45,401,1,8.9,37,703,0,19.0
4,Green Bay Packers,17,20,190,0,9.5,61,1415,0,23.2
5,Seattle Seahawks,17,35,207,0,5.9,38,794,0,20.9
6,Minnesota Vikings,17,38,293,0,7.7,34,890,1,26.2
7,Pittsburgh Steelers,17,24,137,0,5.7,47,1152,0,24.5
8,Jacksonville Jaguars,17,29,203,0,7.0,41,882,0,21.5
9,San Francisco 49ers,17,17,153,0,9.0,51,1097,0,21.5
10,Tampa Bay Buccaneers,17,32,374,0,11.7,35,878,0,25.1
11,Denver Broncos,17,44,362,0,8.2,21,445,0,21.2
12,Buffalo Bills,16,16,145,0,9.1,48,970,0,20.2
13,Detroit Lions,17,30,313,0,10.4,34,746,0,21.9
14,Chicago Bears,17,31,281,0,9.1,32,823,1,25.7
15,Cincinnati Bengals,16,25,266,0,10.6,37,792,0,21.4
16,Carolina Panthers,17,27,231,0,8.6,33,738,0,22.4
17,Indianapolis Colts,17,26,192,0,7.4,34,783,0,23.0
18,New York Giants,17,28,277,0,9.9,30,769,0,25.6
19,Arizona Cardinals,17,37,337,0,9.1,20,424,0,21.2
20,Miami Dolphins,17,30,312,0,10.4,26,724,1,27.8
21,Kansas City Chiefs,17,22,176,0,8.0,33,770,0,23.3
22,Cleveland Browns,17,26,319,0,12.3,29,648,0,22.3
23,Philadelphia Eagles,17,25,203,0,8.1,30,784,0,26.1
24,Las Vegas Raiders,17,25,274,0,11.0,30,582,0,19.4
25,Dallas Cowboys,17,32,258,0,8.1,21,509,0,24.2
26,Los Angeles Rams,17,36,372,0,10.3,15,345,0,23.0
27,New Orleans Saints,17,26,232,0,8.9,23,520,0,22.6
28,Washington Commanders,17,34,219,0,6.4,15,350,0,23.3
29,Baltimore Ravens,17,22,149,0,6.8,26,552,0,21.2
30,Atlanta Falcons,17,25,250,0,10.0,21,471,0,22.4
31,New York Jets,17,32,363,2,11.3,12,251,0,20.9
32,Los Angeles Chargers,17,19,58,0,3.1,15,317,0,21.1
,Avg Team,,29.7,264.1,0.1,8.9,31.7,722.0,0.2,22.8
,League Total,,951,8450,3,8.9,1013,23105,6,22.8
,Avg Tm/G,,1.8,15.6,0.0,8.9,1.9,42.6,0.0,22.8
