Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,San Francisco 49ers,17,11,20,,,1,,1,33,,3,,27,30,16,21,2,277,16.3
2,Buffalo Bills,16,10,21,,,1,,,32,1,4,,27,28,21,28,1,286,17.9
3,Baltimore Ravens,17,11,20,,,1,,,32,1,3,,28,29,31,38,,315,18.5
4,New York Jets,17,14,15,2,,,,,31,,0,,29,31,33,43,1,316,18.6
5,Dallas Cowboys,17,9,23,,,,3,,35,1,5,,28,29,34,40,,342,20.1
6,Cincinnati Bengals,16,12,17,,,1,2,,32,1,3,,26,29,34,40,,322,20.1
7,Washington Commanders,17,10,26,,,1,1,,38,,1,,35,37,26,29,1,343,20.2
8,Philadelphia Eagles,17,15,22,,,1,2,,40,1,3,,34,36,22,25,1,344,20.2
9,New Orleans Saints,17,14,17,,,2,3,,36,3,6,,27,30,32,35,,345,20.3
10,Pittsburgh Steelers,17,7,29,,,1,,,37,1,2,,32,34,30,34,,346,20.4
11,New England Patriots,17,7,28,,3,2,,,40,1,3,,33,36,24,29,,347,20.4
12,Jacksonville Jaguars,17,14,25,,,,,,39,4,7,,30,32,26,27,,350,20.6
13,Tampa Bay Buccaneers,17,12,29,,,,,,41,2,4,,36,36,24,27,,358,21.1
14,Denver Broncos,17,12,20,,,1,2,,35,1,3,,30,31,39,41,,359,21.1
15,Tennessee Titans,17,9,29,,,2,1,,41,3,7,,32,34,25,27,,359,21.1
16,Kansas City Chiefs,17,10,33,,,,,,43,1,3,,40,40,23,25,,369,21.7
17,Green Bay Packers,17,18,22,,,,1,1,42,1,2,,36,40,27,34,,371,21.8
18,New York Giants,17,16,21,,,,,,37,1,1,,34,36,37,43,1,371,21.8
19,Carolina Panthers,17,17,25,,,,2,,44,1,4,,36,40,24,33,,374,22.0
20,Cleveland Browns,17,22,20,,,,,,42,1,3,,35,39,30,35,1,381,22.4
21,Los Angeles Chargers,17,17,24,,,1,1,,43,1,2,,40,41,28,35,,384,22.6
22,Los Angeles Rams,17,12,23,,,1,2,1,39,2,3,,36,36,36,40,1,384,22.6
23,Atlanta Falcons,17,15,26,,,,,,41,4,5,,33,36,33,38,,386,22.7
24,Miami Dolphins,17,15,27,,1,1,1,,45,3,5,,38,40,27,29,2,399,23.5
25,Seattle Seahawks,17,21,23,,,1,1,,46,3,3,,39,42,26,32,1,401,23.6
26,Las Vegas Raiders,17,20,25,,,1,2,,48,3,6,,40,41,28,40,,418,24.6
27,Houston Texans,17,25,15,1,,3,4,,48,2,2,,44,45,28,32,,420,24.7
28,Minnesota Vikings,17,18,23,,1,,2,1,45,2,6,,39,39,38,44,,427,25.1
29,Detroit Lions,17,22,26,,,1,2,,51,2,6,,40,45,25,30,1,427,25.1
30,Indianapolis Colts,17,20,25,,,1,4,,50,4,7,,41,43,26,28,,427,25.1
31,Arizona Cardinals,17,21,29,,,1,1,,52,1,2,,48,50,29,31,,449,26.4
32,Chicago Bears,17,31,22,,1,1,1,1,57,4,5,,50,52,21,29,,463,27.2
,Avg Team,,15.2,23.4,0.1,0.2,0.8,1.2,0.2,41.1,1.8,3.7,0.0,35.1,37.1,28.2,33.2,0.4,370.6,21.9
,League Total,,487,750,3,6,26,38,5,1315,56,119,0,1123,1187,903,1062,13,11860,21.9
,Avg Tm/G,,0.90,1.38,0.01,0.01,0.05,0.07,0.01,2.43,0.10,0.22,0.00,2.07,2.19,1.67,1.96,0.02,21.9,
