,,,Punting,Punting,Punting,Punting
Rk,Tm,G,Pnt,Yds,Y/P,Blck
1,New Orleans Saints,16,53,2246,42.4,2
2,Los Angeles Rams,16,66,2913,44.1,2
3,Kansas City Chiefs,16,52,2278,43.8,1
4,Indianapolis Colts,16,67,3022,45.1,0
5,Tampa Bay Buccaneers,16,70,3347,47.8,0
6,Dallas Cowboys,16,64,2856,44.6,0
7,Carolina Panthers,16,64,2928,45.8,0
8,Philadelphia Eagles,16,65,2999,46.1,0
9,Baltimore Ravens,16,88,3850,43.8,0
10,Los Angeles Chargers,16,67,3195,47.7,0
11,Atlanta Falcons,16,61,2811,46.1,1
12,Pittsburgh Steelers,16,82,3610,44.0,1
13,New England Patriots,16,71,2898,40.8,2
14,Chicago Bears,16,78,3447,44.2,0
15,San Francisco 49ers,16,78,3379,43.3,0
16,Oakland Raiders,16,60,2851,47.5,0
17,New York Giants,16,66,3071,46.5,0
18,Green Bay Packers,16,72,3258,45.3,1
19,Cincinnati Bengals,16,54,2284,42.3,1
20,Houston Texans,16,80,3732,46.7,1
21,Detroit Lions,16,68,3078,45.3,0
22,Minnesota Vikings,16,76,3431,45.1,0
23,Tennessee Titans,16,71,3276,46.1,0
24,Washington Redskins,16,58,2660,45.9,0
25,Seattle Seahawks,16,66,2961,44.9,0
26,New York Jets,16,79,3410,43.2,1
27,Buffalo Bills,16,80,3555,44.4,0
28,Denver Broncos,16,73,3347,45.8,1
29,Jacksonville Jaguars,16,79,3792,48.0,0
30,Cleveland Browns,16,71,3093,43.6,0
31,Miami Dolphins,16,55,2326,42.3,1
32,Arizona Cardinals,16,80,3638,45.5,1
,Avg Team,,69.2,3110.8,45.0,0.5
,League Total,,2214,99544,45.0,16
,Avg Tm/G,,4.3,194.4,45.0,0.0
