Tm,W,L,T,W-L%,Pts,PtsO,PtDif,MoV
Philadelphia Eagles,12,4,0,.750,415,241,174,10.9
New York Giants,10,6,0,.625,320,279,41,2.6
Washington Redskins,7,9,0,.438,307,365,-58,-3.6
Dallas Cowboys,5,11,0,.313,217,329,-112,-7.0
Green Bay Packers,12,4,0,.750,398,328,70,4.4
Minnesota Vikings,6,10,0,.375,390,442,-52,-3.3
Chicago Bears,4,12,0,.250,281,379,-98,-6.1
Detroit Lions,3,13,0,.188,306,451,-145,-9.1
Tampa Bay Buccaneers,12,4,0,.750,346,196,150,9.4
Atlanta Falcons,9,6,1,.594,402,314,88,5.5
New Orleans Saints,9,7,0,.563,432,388,44,2.8
Carolina Panthers,7,9,0,.438,258,302,-44,-2.8
San Francisco 49ers,10,6,0,.625,367,351,16,1.0
St. Louis Rams,7,9,0,.438,316,369,-53,-3.3
Seattle Seahawks,7,9,0,.438,355,369,-14,-0.9
Arizona Cardinals,5,11,0,.313,262,417,-155,-9.7
