Rk,Tm,G,Att,Yds,TD,Y/A,Y/G,EXP
1,Pittsburgh Steelers,16,359,1375,16,3.8,85.9,52.82
2,Tennessee Titans,16,372,1424,7,3.8,89.0,51.35
3,Oakland Raiders,16,384,1453,14,3.8,90.8,82.25
4,Denver Broncos,16,379,1489,21,3.9,93.1,10.85
5,Tampa Bay Buccaneers,16,410,1554,8,3.8,97.1,28.85
6,Miami Dolphins,16,407,1554,9,3.8,97.1,22.69
7,San Francisco 49ers,16,394,1652,14,4.2,103.3,18.93
8,Carolina Panthers,16,448,1653,12,3.7,103.3,57.63
9,Philadelphia Eagles,16,390,1660,5,4.3,103.8,66.49
10,Minnesota Vikings,16,394,1666,15,4.2,104.1,32.42
11,San Diego Chargers,16,410,1739,15,4.2,108.7,2.97
12,Washington Redskins,16,435,1754,14,4.0,109.6,16.74
13,Baltimore Ravens,16,471,1762,17,3.7,110.1,23.78
14,St. Louis Rams,16,445,1816,15,4.1,113.5,10.55
15,Dallas Cowboys,16,481,1818,10,3.8,113.6,50.99
16,New York Giants,16,407,1830,12,4.5,114.4,5.33
17,Detroit Lions,16,495,1967,19,4.0,122.9,11.18
18,New York Jets,16,427,1973,17,4.6,123.3,-18.63
19,New Orleans Saints,16,439,1991,18,4.5,124.4,13.85
20,Indianapolis Colts,16,459,1992,16,4.3,124.5,2.57
21,Green Bay Packers,16,413,1998,14,4.8,124.9,0.90
22,Cincinnati Bengals,16,498,2003,16,4.0,125.2,24.86
23,Atlanta Falcons,16,441,2047,12,4.6,127.9,12.72
24,Kansas City Chiefs,16,431,2067,19,4.8,129.2,-38.20
25,Jacksonville Jaguars,16,487,2071,14,4.3,129.4,-3.21
26,Chicago Bears,16,504,2076,13,4.1,129.8,38.90
27,Cleveland Browns,16,483,2079,12,4.3,129.9,-1.68
28,Houston Texans,16,509,2089,14,4.1,130.6,10.83
29,Buffalo Bills,16,473,2122,20,4.5,132.6,-8.42
30,Arizona Cardinals,16,490,2146,17,4.4,134.1,-5.53
31,New England Patriots,16,467,2198,17,4.7,137.4,-52.67
32,Seattle Seahawks,16,500,2441,18,4.9,152.6,-25.64
,Avg Team,,440.7,1858.1,14.4,4.2,116.1,15.5
,League Total,,14102,59459,460,4.2,116.1,
,Avg Tm/G,,27.5,116.1,0.9,4.2,116.1,
