Tm,W,L,T,W-L%,Pts,PtsO,PtDif,MoV
New England Patriots,11,5,0,.688,436,325,111,6.9
Miami Dolphins,7,9,0,.438,319,433,-114,-7.1
Buffalo Bills,6,10,0,.375,269,374,-105,-6.6
New York Jets,4,12,0,.250,333,441,-108,-6.8
Baltimore Ravens,10,6,0,.625,389,287,102,6.4
Pittsburgh Steelers,9,6,1,.594,428,360,68,4.3
Cleveland Browns,7,8,1,.469,359,392,-33,-2.1
Cincinnati Bengals,6,10,0,.375,368,455,-87,-5.4
Houston Texans,11,5,0,.688,402,316,86,5.4
Indianapolis Colts,10,6,0,.625,433,344,89,5.6
Tennessee Titans,9,7,0,.563,310,303,7,0.4
Jacksonville Jaguars,5,11,0,.313,245,316,-71,-4.4
Kansas City Chiefs,12,4,0,.750,565,421,144,9.0
Los Angeles Chargers,12,4,0,.750,428,329,99,6.2
Denver Broncos,6,10,0,.375,329,349,-20,-1.3
Oakland Raiders,4,12,0,.250,290,467,-177,-11.1
