Rk,Tm,G,Att,Yds,TD,Y/A,Y/G,EXP
1,Pittsburgh Steelers,16,333,1004,5,3.0,62.8,105.63
2,Chicago Bears,16,386,1441,14,3.7,90.1,79.26
3,New York Jets,16,408,1454,11,3.6,90.9,131.18
4,San Diego Chargers,16,404,1500,14,3.7,93.8,71.58
5,Baltimore Ravens,16,384,1503,5,3.9,93.9,112.20
6,San Francisco 49ers,16,447,1547,9,3.5,96.7,139.10
7,Miami Dolphins,16,447,1601,8,3.6,100.1,117.26
8,New York Giants,16,389,1620,11,4.2,101.3,54.70
9,Minnesota Vikings,16,417,1635,10,3.9,102.2,59.03
10,Atlanta Falcons,16,366,1694,9,4.6,105.9,70.12
11,New England Patriots,16,409,1728,10,4.2,108.0,40.87
12,Dallas Cowboys,16,402,1734,11,4.3,108.4,72.25
13,Houston Texans,16,433,1751,16,4.0,109.4,83.24
14,Kansas City Chiefs,16,408,1764,11,4.3,110.3,79.05
15,Philadelphia Eagles,16,423,1766,12,4.2,110.4,65.34
16,New Orleans Saints,16,421,1797,13,4.3,112.3,84.92
17,St. Louis Rams,16,404,1810,7,4.5,113.1,73.64
18,Green Bay Packers,16,395,1838,6,4.7,114.9,68.91
19,Cincinnati Bengals,16,416,1843,15,4.4,115.2,36.11
20,Tennessee Titans,16,474,1851,7,3.9,115.7,72.65
21,Seattle Seahawks,16,452,1903,13,4.2,118.9,96.69
22,Jacksonville Jaguars,16,416,1945,19,4.7,121.6,45.99
23,Carolina Panthers,16,503,1981,20,3.9,123.8,89.38
24,Detroit Lions,16,443,1999,18,4.5,124.9,30.07
25,Indianapolis Colts,16,445,2032,14,4.6,127.0,44.37
26,Washington Redskins,16,444,2041,15,4.6,127.6,84.44
27,Cleveland Browns,16,505,2070,7,4.1,129.4,115.38
28,Tampa Bay Buccaneers,16,444,2107,12,4.7,131.7,62.83
29,Oakland Raiders,16,474,2138,14,4.5,133.6,87.99
30,Arizona Cardinals,16,526,2323,19,4.4,145.2,101.85
31,Denver Broncos,16,531,2473,26,4.7,154.6,17.60
32,Buffalo Bills,16,571,2714,18,4.8,169.6,52.18
,Avg Team,,435.0,1831.5,12.5,4.2,114.5,76.4
,League Total,,13920,58607,399,4.2,114.5,
,Avg Tm/G,,27.2,114.5,0.8,4.2,114.5,
