,,,Downs,Downs,Downs,Downs,Downs,Downs,Red Zone,Red Zone,Red Zone
Rk,Tm,G,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
1,New York Giants,16,208,66,31.7%,17,9,52.9%,47,25,53.2%
2,Pittsburgh Steelers,16,209,70,33.5%,16,10,62.5%,40,16,40.0%
3,San Diego Chargers,16,208,70,33.7%,28,12,42.9%,43,27,62.8%
4,New Orleans Saints,16,203,70,34.5%,23,15,65.2%,45,20,44.4%
5,St. Louis Rams,16,221,74,33.5%,12,6,50.0%,45,22,48.9%
6,Washington Redskins,16,214,75,35.0%,10,7,70.0%,57,28,49.1%
7,Chicago Bears,16,216,75,34.7%,13,6,46.2%,42,20,47.6%
8,Cincinnati Bengals,16,198,75,37.9%,7,2,28.6%,45,21,46.7%
9,Oakland Raiders,16,218,76,34.9%,11,3,27.3%,49,26,53.1%
10,Detroit Lions,16,198,77,38.9%,12,5,41.7%,46,27,58.7%
11,Green Bay Packers,16,213,77,36.2%,20,6,30.0%,31,15,48.4%
12,Houston Texans,16,195,77,39.5%,13,11,84.6%,59,40,67.8%
13,Jacksonville Jaguars,16,189,78,41.3%,18,8,44.4%,57,31,54.4%
14,Indianapolis Colts,16,200,78,39.0%,18,8,44.4%,48,25,52.1%
15,Atlanta Falcons,16,201,79,39.3%,17,9,52.9%,42,23,54.8%
16,Denver Broncos,16,209,80,38.3%,16,10,62.5%,52,32,61.5%
17,Philadelphia Eagles,16,209,80,38.3%,12,5,41.7%,43,33,76.7%
18,Dallas Cowboys,16,204,81,39.7%,9,4,44.4%,53,35,66.0%
19,New York Jets,16,219,81,37.0%,6,4,66.7%,43,26,60.5%
20,Carolina Panthers,16,213,81,38.0%,9,4,44.4%,66,32,48.5%
21,Kansas City Chiefs,16,223,84,37.7%,20,7,35.0%,37,26,70.3%
22,Miami Dolphins,16,226,84,37.2%,22,8,36.4%,45,18,40.0%
23,San Francisco 49ers,16,217,84,38.7%,13,3,23.1%,55,26,47.3%
24,Baltimore Ravens,16,229,87,38.0%,12,6,50.0%,40,17,42.5%
25,Minnesota Vikings,16,213,87,40.8%,10,5,50.0%,46,26,56.5%
26,Arizona Cardinals,16,233,87,37.3%,17,9,52.9%,69,27,39.1%
27,Tampa Bay Buccaneers,16,213,92,43.2%,17,9,52.9%,48,26,54.2%
28,Seattle Seahawks,16,238,94,39.5%,19,8,42.1%,65,30,46.2%
29,Cleveland Browns,16,224,96,42.9%,15,11,73.3%,48,23,47.9%
30,Buffalo Bills,16,227,98,43.2%,10,7,70.0%,54,33,61.1%
31,New England Patriots,16,210,99,47.1%,20,12,60.0%,50,27,54.0%
32,Tennessee Titans,16,242,104,43.0%,22,9,40.9%,63,26,41.3%
,League Total,,,,,,,,,,
