,,,Punting,Punting,Punting,Punting
Rk,Tm,G,Pnt,Yds,Y/P,Blck
1,Tampa Bay Buccaneers,16,62,2787,45.0,1
2,Pittsburgh Steelers,16,70,3067,43.8,0
3,Atlanta Falcons,16,65,2944,45.3,0
4,Arizona Cardinals,16,78,3658,46.9,0
5,Minnesota Vikings,16,72,3158,43.9,0
6,New Orleans Saints,16,62,2765,44.6,1
7,Seattle Seahawks,16,87,3917,45.0,0
8,Dallas Cowboys,16,74,3330,45.0,1
9,Carolina Panthers,16,78,3611,46.3,0
10,Cincinnati Bengals,16,77,3450,44.8,0
11,Cleveland Browns,16,63,2742,43.5,1
12,Washington Redskins,16,69,3103,45.0,1
13,San Diego Chargers,16,72,3102,43.1,0
14,Baltimore Ravens,16,81,3716,45.9,1
15,Kansas City Chiefs,16,78,3484,44.7,1
16,Chicago Bears,16,74,3273,44.2,0
17,New England Patriots,16,86,4044,47.0,0
18,New York Giants,16,64,2957,46.2,1
19,Jacksonville Jaguars,16,72,3159,43.9,1
20,Detroit Lions,16,72,3192,44.3,0
21,Green Bay Packers,16,82,3561,43.4,0
22,New York Jets,16,86,4042,47.0,0
23,Buffalo Bills,16,75,3277,43.7,0
24,Denver Broncos,16,92,4279,46.5,0
25,Oakland Raiders,16,71,3210,45.2,0
26,Indianapolis Colts,16,80,3617,45.2,0
27,Tennessee Titans,16,74,3569,48.2,0
28,Philadelphia Eagles,16,89,4031,45.3,1
29,San Francisco 49ers,16,74,3363,45.4,0
30,Miami Dolphins,16,77,3521,45.7,1
31,St. Louis Rams,16,83,3711,44.7,0
32,Houston Texans,16,101,4693,46.5,0
,Avg Team,,76.3,3447.6,45.2,0.3
,League Total,,2440,110322,45.2,11
,Avg Tm/G,,4.8,215.5,45.2,0.0
