,,,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Tm,G,Ret,Yds,TD,Y/R,Rt,Yds,TD,Y/Rt
1,Houston Texans,16,60,612,0,10.2,40,977,0,24.4
2,New York Jets,16,37,470,2,12.7,49,1168,0,23.8
3,New York Giants,16,30,300,0,10.0,54,1095,1,20.3
4,Buffalo Bills,16,40,353,0,8.8,40,688,0,17.2
5,Cleveland Browns,16,37,381,1,10.3,42,894,0,21.3
6,Cincinnati Bengals,16,32,203,0,6.3,46,1041,0,22.6
7,Green Bay Packers,16,41,174,0,4.2,37,988,0,26.7
8,San Diego Chargers,16,44,432,0,9.8,32,880,0,27.5
9,Philadelphia Eagles,16,42,215,0,5.1,34,705,0,20.7
10,Detroit Lions,16,43,263,0,6.1,33,814,0,24.7
11,Arizona Cardinals,16,25,295,0,11.8,49,1191,0,24.3
12,Pittsburgh Steelers,16,19,165,0,8.7,54,1201,0,22.2
13,Miami Dolphins,16,50,526,0,10.5,23,508,0,22.1
14,Kansas City Chiefs,16,26,170,0,6.5,46,1137,0,24.7
15,Seattle Seahawks,16,29,382,1,13.2,42,1073,1,25.5
16,Carolina Panthers,16,37,288,1,7.8,34,905,1,26.6
17,Tennessee Titans,16,47,605,1,12.9,22,599,0,27.2
18,Minnesota Vikings,16,29,152,0,5.2,40,1043,0,26.1
19,Chicago Bears,16,30,229,1,7.6,39,983,2,25.2
20,New England Patriots,16,39,347,1,8.9,29,533,0,18.4
21,Jacksonville Jaguars,16,45,462,0,10.3,23,553,0,24.0
22,St. Louis Rams,16,40,289,1,7.2,27,605,0,22.4
23,San Francisco 49ers,16,44,283,0,6.4,23,591,0,25.7
24,Oakland Raiders,16,30,201,0,6.7,35,795,1,22.7
25,New Orleans Saints,16,26,215,0,8.3,37,981,0,26.5
26,Tampa Bay Buccaneers,16,27,140,0,5.2,35,882,0,25.2
27,Denver Broncos,16,36,247,0,6.9,25,508,0,20.3
28,Washington Redskins,16,30,258,1,8.6,29,582,0,20.1
29,Atlanta Falcons,16,28,272,0,9.7,22,599,0,27.2
30,Dallas Cowboys,16,24,162,0,6.8,23,549,1,23.9
31,Baltimore Ravens,16,35,176,0,5.0,9,229,0,25.4
32,Indianapolis Colts,16,36,386,3,10.7,8,156,0,19.5
,Avg Team,,35.6,301.7,0.4,8.5,33.8,795.2,0.2,23.5
,League Total,,1138,9654,13,8.5,1081,25445,7,23.5
,Avg Tm/G,,2.2,18.9,0.0,8.5,2.1,49.7,0.0,23.5
