Tm,W,L,W-L%,Pts,PtsO,PtDif,MoV
New England Patriots,14,2,.875,518,313,205,12.8
New York Jets,11,5,.688,367,304,63,3.9
Miami Dolphins,7,9,.438,273,333,-60,-3.8
Buffalo Bills,4,12,.250,283,425,-142,-8.9
Pittsburgh Steelers,12,4,.750,375,232,143,8.9
Baltimore Ravens,12,4,.750,357,270,87,5.4
Cleveland Browns,5,11,.313,271,332,-61,-3.8
Cincinnati Bengals,4,12,.250,322,395,-73,-4.6
Indianapolis Colts,10,6,.625,435,388,47,2.9
Jacksonville Jaguars,8,8,.500,353,419,-66,-4.1
Houston Texans,6,10,.375,390,427,-37,-2.3
Tennessee Titans,6,10,.375,356,339,17,1.1
Kansas City Chiefs,10,6,.625,366,326,40,2.5
San Diego Chargers,9,7,.563,441,322,119,7.4
Oakland Raiders,8,8,.500,410,371,39,2.4
Denver Broncos,4,12,.250,344,471,-127,-7.9
