,,,Punting,Punting,Punting,Punting
Rk,Tm,G,Pnt,Yds,Y/P,Blck
1,Indianapolis Colts,16,67,2794,41.7,
2,Cincinnati Bengals,16,50,2105,42.1,
3,Kansas City Chiefs,16,69,3153,45.7,
4,Pittsburgh Steelers,16,80,3464,43.3,
5,Green Bay Packers,16,85,3595,42.3,
6,Buffalo Bills,16,62,2492,40.2,
7,New Orleans Saints,16,76,3466,45.6,
8,San Diego Chargers,16,78,3276,42.0,
9,St. Louis Rams,16,68,2720,40.0,
10,New York Giants,16,88,3652,41.5,
11,Carolina Panthers,16,79,3563,45.1,
12,Denver Broncos,16,81,3637,44.9,
13,Arizona Cardinals,16,85,3748,44.1,
14,New York Jets,16,62,2790,45.0,
15,Houston Texans,16,63,2526,40.1,
16,Tennessee Titans,16,85,3748,44.1,
17,Atlanta Falcons,16,79,3405,43.1,
18,New England Patriots,16,81,3540,43.7,
19,Cleveland Browns,16,72,3060,42.5,
20,Seattle Seahawks,16,77,3088,40.1,
21,Minnesota Vikings,16,72,3010,41.8,
22,Oakland Raiders,16,76,3154,41.5,
23,Dallas Cowboys,16,95,3895,41.0,
24,Jacksonville Jaguars,16,88,3766,42.8,
25,Detroit Lions,16,72,2902,40.3,
26,Baltimore Ravens,16,89,3604,40.5,
27,Washington Redskins,16,88,3634,41.3,
28,Miami Dolphins,16,92,3956,43.0,
29,Tampa Bay Buccaneers,16,80,3512,43.9,
30,Chicago Bears,16,97,3987,41.1,
31,Philadelphia Eagles,16,104,4358,41.9,
32,San Francisco 49ers,16,71,2847,40.1,
,Avg Team,,78.5,3337.9,42.5,0.3
,League Total,,2511,106813,42.5,9
,Avg Tm/G,,4.9,208.6,42.5,0.0
