Rk,Tm,G,Att,Yds,TD,Y/A,Y/G,EXP
1,San Diego Chargers,16,386,1349,14,3.5,84.3,112.65
2,Denver Broncos,16,344,1363,10,4.0,85.2,58.56
3,Pittsburgh Steelers,16,402,1376,10,3.4,86.0,140.22
4,Carolina Panthers,16,408,1465,9,3.6,91.6,126.73
5,Seattle Seahawks,16,420,1510,5,3.6,94.4,109.62
6,Tampa Bay Buccaneers,16,438,1515,10,3.5,94.7,130.84
7,Kansas City Chiefs,16,383,1570,11,4.1,98.1,80.53
8,New England Patriots,16,437,1580,11,3.6,98.8,101.54
9,Baltimore Ravens,16,431,1591,8,3.7,99.4,127.11
10,Arizona Cardinals,16,411,1632,22,4.0,102.0,56.31
11,Chicago Bears,16,443,1637,9,3.7,102.3,94.85
12,New York Giants,16,428,1656,12,3.9,103.5,87.96
13,Washington Redskins,16,411,1686,15,4.1,105.4,86.57
14,Jacksonville Jaguars,16,434,1709,4,3.9,106.8,95.01
15,Dallas Cowboys,16,414,1731,13,4.2,108.2,48.39
16,Indianapolis Colts,16,398,1762,9,4.4,110.1,68.50
17,Miami Dolphins,16,480,1771,11,3.7,110.7,85.75
18,San Francisco 49ers,16,486,1832,19,3.8,114.5,97.89
19,Minnesota Vikings,16,462,1841,14,4.0,115.1,100.97
20,Cincinnati Bengals,16,429,1850,16,4.3,115.6,76.50
21,Philadelphia Eagles,16,506,1883,15,3.7,117.7,110.08
22,Tennessee Titans,16,449,1894,12,4.2,118.4,105.09
23,Green Bay Packers,16,504,2010,10,4.0,125.6,140.12
24,Detroit Lions,16,488,2040,15,4.2,127.5,54.47
25,Oakland Raiders,16,507,2049,18,4.0,128.1,101.65
26,Atlanta Falcons,16,438,2063,18,4.7,128.9,27.99
27,New Orleans Saints,16,503,2145,16,4.3,134.1,87.15
28,St. Louis Rams,16,459,2178,22,4.7,136.1,47.75
29,New York Jets,16,554,2185,19,3.9,136.6,43.19
30,Cleveland Browns,16,527,2202,11,4.2,137.6,75.73
31,Buffalo Bills,16,489,2205,22,4.5,137.8,27.03
32,Houston Texans,16,506,2303,21,4.6,143.9,22.11
,Avg Team,,449.2,1799.5,13.5,4.0,112.5,85.3
,League Total,,14375,57583,431,4.0,112.5,
,Avg Tm/G,,28.1,112.5,0.8,4.0,112.5,
