,,,Downs,Downs,Downs,Downs,Downs,Downs,Red Zone,Red Zone,Red Zone
Rk,Tm,G,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
1,Atlanta Falcons,16,192,58,30.2%,16,10,62.5%,49,26,53.1%
2,Jacksonville Jaguars,16,205,67,32.7%,14,4,28.6%,36,19,52.8%
3,Arizona Cardinals,16,196,67,34.2%,11,4,36.4%,44,24,54.5%
4,Tennessee Titans,16,200,71,35.5%,11,7,63.6%,56,34,60.7%
5,Dallas Cowboys,16,211,73,34.6%,11,7,63.6%,38,19,50.0%
6,Green Bay Packers,16,206,74,35.9%,8,3,37.5%,47,25,53.2%
7,Tampa Bay Buccaneers,16,214,75,35.0%,18,7,38.9%,45,22,48.9%
8,Houston Texans,16,196,75,38.3%,20,13,65.0%,60,36,60.0%
9,Chicago Bears,16,238,76,31.9%,20,6,30.0%,40,13,32.5%
10,Indianapolis Colts,16,207,76,36.7%,24,14,58.3%,39,19,48.7%
11,Denver Broncos,16,207,76,36.7%,19,10,52.6%,39,22,56.4%
12,Kansas City Chiefs,16,206,78,37.9%,19,7,36.8%,45,21,46.7%
13,San Diego Chargers,16,212,79,37.3%,20,10,50.0%,55,29,52.7%
14,Baltimore Ravens,16,219,79,36.1%,12,4,33.3%,42,19,45.2%
15,St. Louis Rams,16,199,80,40.2%,9,2,22.2%,62,36,58.1%
16,Philadelphia Eagles,16,233,80,34.3%,11,7,63.6%,52,29,55.8%
17,Washington Redskins,16,222,81,36.5%,13,5,38.5%,37,17,45.9%
18,Cincinnati Bengals,16,190,81,42.6%,14,6,42.9%,48,26,54.2%
19,Detroit Lions,16,208,82,39.4%,11,6,54.5%,53,27,50.9%
20,Cleveland Browns,16,215,87,40.5%,18,8,44.4%,50,22,44.0%
21,San Francisco 49ers,16,226,87,38.5%,19,11,57.9%,64,33,51.6%
22,New York Jets,16,212,88,41.5%,17,14,82.4%,52,26,50.0%
23,New Orleans Saints,16,220,89,40.5%,4,3,75.0%,57,28,49.1%
24,Seattle Seahawks,16,234,89,38.0%,19,12,63.2%,47,19,40.4%
25,Carolina Panthers,16,221,90,40.7%,16,5,31.3%,39,16,41.0%
26,Pittsburgh Steelers,16,232,92,39.7%,17,6,35.3%,48,23,47.9%
27,Oakland Raiders,16,226,92,40.7%,9,3,33.3%,59,27,45.8%
28,New England Patriots,16,219,92,42.0%,9,3,33.3%,48,27,56.3%
29,Buffalo Bills,16,200,93,46.5%,12,7,58.3%,52,33,63.5%
30,New York Giants,16,236,94,39.8%,12,6,50.0%,43,24,55.8%
31,Minnesota Vikings,16,221,95,43.0%,13,5,38.5%,53,25,47.2%
32,Miami Dolphins,16,236,95,40.3%,19,8,42.1%,51,26,51.0%
,League Total,,,,,,,,,,
