,,,Downs,Downs,Downs,Downs,Downs,Downs,Red Zone,Red Zone,Red Zone
Rk,Tm,G,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
1,Indianapolis Colts,16,201,67,33.3%,17,4,23.5%,50,33,66.0%
2,Pittsburgh Steelers,16,189,71,37.6%,14,10,71.4%,50,27,54.0%
3,New York Giants,16,200,72,36.0%,10,4,40.0%,51,25,49.0%
4,Buffalo Bills,16,220,73,33.2%,11,5,45.5%,44,22,50.0%
5,Houston Texans,16,218,74,33.9%,17,6,35.3%,46,22,47.8%
6,Seattle Seahawks,16,202,75,37.1%,14,8,57.1%,37,22,59.5%
7,Detroit Lions,16,207,77,37.2%,15,6,40.0%,49,26,53.1%
8,Cincinnati Bengals,16,215,79,36.7%,19,10,52.6%,55,27,49.1%
9,Kansas City Chiefs,16,216,79,36.6%,21,8,38.1%,54,21,38.9%
10,Arizona Cardinals,16,215,81,37.7%,13,5,38.5%,41,18,43.9%
11,Denver Broncos,16,222,81,36.5%,17,10,58.8%,52,30,57.7%
12,St. Louis Rams,16,213,82,38.5%,10,0,0.0%,39,18,46.2%
13,Green Bay Packers,16,206,83,40.3%,28,15,53.6%,48,27,56.3%
14,New England Patriots,16,209,84,40.2%,23,8,34.8%,46,22,47.8%
15,Oakland Raiders,16,221,85,38.5%,9,4,44.4%,57,30,52.6%
16,Chicago Bears,16,201,85,42.3%,19,12,63.2%,71,37,52.1%
17,San Francisco 49ers,16,203,88,43.3%,14,7,50.0%,44,27,61.4%
18,Philadelphia Eagles,16,232,88,37.9%,12,3,25.0%,43,25,58.1%
19,San Diego Chargers,16,207,89,43.0%,10,2,20.0%,52,27,51.9%
20,Washington Redskins,16,207,89,43.0%,9,5,55.6%,48,25,52.1%
21,Baltimore Ravens,16,221,89,40.3%,14,5,35.7%,54,23,42.6%
22,Dallas Cowboys,16,204,89,43.6%,20,10,50.0%,49,30,61.2%
23,Carolina Panthers,16,210,89,42.4%,11,5,45.5%,46,29,63.0%
24,Minnesota Vikings,16,217,90,41.5%,14,9,64.3%,48,26,54.2%
25,Cleveland Browns,16,239,90,37.7%,18,11,61.1%,54,25,46.3%
26,Tampa Bay Buccaneers,16,213,93,43.7%,9,5,55.6%,52,32,61.5%
27,Tennessee Titans,16,227,94,41.4%,11,5,45.5%,63,37,58.7%
28,Atlanta Falcons,16,203,95,46.8%,8,4,50.0%,58,33,56.9%
29,Miami Dolphins,16,223,98,43.9%,22,13,59.1%,55,29,52.7%
30,New York Jets,16,219,99,45.2%,4,0,0.0%,49,29,59.2%
31,New Orleans Saints,16,215,99,46.0%,8,4,50.0%,51,32,62.7%
32,Jacksonville Jaguars,16,236,101,42.8%,10,4,40.0%,56,27,48.2%
,League Total,,,,,,,,,,
