,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Tm,G,FGA,FGM,FG%,XPA,XPM,XP%
1,Tennessee Titans,16,39,33,84.6%,47,47,100.0%
2,Jacksonville Jaguars,16,35,31,88.6%,45,45,100.0%
3,Oakland Raiders,16,38,32,84.2%,50,50,100.0%
4,Chicago Bears,16,39,33,84.6%,49,49,100.0%
5,Tampa Bay Buccaneers,16,39,29,74.4%,41,41,100.0%
6,Washington Redskins,16,26,22,84.6%,51,50,98.0%
7,Arizona Cardinals,16,32,25,78.1%,32,32,100.0%
8,Cleveland Browns,16,34,29,85.3%,34,34,100.0%
9,New York Jets,16,32,26,81.3%,44,43,97.7%
10,Minnesota Vikings,16,31,25,80.6%,37,36,97.3%
11,San Francisco 49ers,16,20,20,100.0%,40,40,100.0%
12,St. Louis Rams,16,29,25,86.2%,39,39,100.0%
13,San Diego Chargers,16,34,28,82.4%,36,36,100.0%
14,Kansas City Chiefs,16,37,32,86.5%,25,25,100.0%
15,Carolina Panthers,16,28,22,78.6%,44,44,100.0%
16,New Orleans Saints,16,32,31,96.9%,43,43,100.0%
17,Buffalo Bills,16,37,30,81.1%,27,27,100.0%
18,Detroit Lions,16,23,18,78.3%,30,30,100.0%
19,New York Giants,16,31,29,93.5%,41,41,100.0%
20,Atlanta Falcons,16,38,31,81.6%,42,40,95.2%
21,Cincinnati Bengals,16,32,26,81.3%,34,34,100.0%
22,Houston Texans,16,22,19,86.4%,33,32,97.0%
23,Baltimore Ravens,16,36,30,83.3%,28,28,100.0%
24,Pittsburgh Steelers,16,32,30,93.8%,38,38,100.0%
25,Seattle Seahawks,16,24,21,87.5%,25,25,100.0%
26,Miami Dolphins,16,34,26,76.5%,39,39,100.0%
27,Indianapolis Colts,16,19,15,78.9%,46,46,100.0%
28,Dallas Cowboys,16,18,16,88.9%,41,40,97.6%
29,Denver Broncos,16,28,23,82.1%,37,37,100.0%
30,New England Patriots,16,37,29,78.4%,28,28,100.0%
31,Green Bay Packers,16,24,21,87.5%,37,37,100.0%
32,Philadelphia Eagles,16,27,22,81.5%,47,46,97.9%
,Avg Team,,30.8,25.9,84.0%,38.4,38.2,99.3%
,League Total,,987,829,84.0%,1230,1222,99.3%
,Avg Tm/G,,1.9,1.6,84.0%,2.4,2.4,99.3%
