Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,Seattle Seahawks,16,8,17,1,,,,1,27,1,2,,25,25,21,24,1,254,15.9
2,Kansas City Chiefs,16,4,22,,,,,,26,1,1,,25,25,32,37,1,281,17.6
3,Detroit Lions,16,8,23,1,,,,,32,2,3,,30,30,18,23,1,282,17.6
4,Buffalo Bills,16,10,16,,,,2,,28,,1,,27,27,30,37,2,289,18.1
5,Arizona Cardinals,16,9,22,,,,1,,32,,0,,32,32,25,32,,299,18.7
6,Baltimore Ravens,16,8,22,,,,,,30,2,2,,28,28,30,36,,302,18.9
7,Houston Texans,16,6,28,,,1,1,,36,,3,,32,33,19,22,1,307,19.2
8,New England Patriots,16,6,24,,,1,1,,32,3,4,,28,28,29,37,,313,19.6
9,Cleveland Browns,16,13,22,,,1,,,36,,2,,34,34,29,34,,337,21.1
10,San Francisco 49ers,16,7,29,1,,1,1,1,40,,0,,40,40,20,20,,340,21.3
11,Minnesota Vikings,16,10,26,,,,1,1,38,,1,,36,37,25,31,2,343,21.4
12,Cincinnati Bengals,16,16,18,1,,1,2,,38,2,4,,34,34,26,32,,344,21.5
13,San Diego Chargers,16,11,24,,,1,2,,38,,2,,36,36,28,34,,348,21.8
14,Green Bay Packers,16,11,26,1,1,1,,,40,1,3,,37,37,21,24,3,348,21.8
15,Dallas Cowboys,16,18,22,,,1,1,1,43,2,2,,40,41,16,18,1,352,22.0
16,Denver Broncos,16,9,29,1,,1,1,,41,1,3,,37,37,23,28,,354,22.1
17,St. Louis Rams,16,12,18,,1,3,5,1,40,,1,,39,39,25,29,,354,22.1
18,Pittsburgh Steelers,16,9,30,,1,,,,40,,2,,38,38,30,32,,368,23.0
19,Indianapolis Colts,16,14,27,,,2,3,,46,,0,,46,46,15,19,1,369,23.1
20,Miami Dolphins,16,13,27,,1,,,1,42,2,3,,39,39,26,34,,373,23.3
21,Carolina Panthers,16,14,25,1,,1,1,2,44,,0,,44,44,22,28,,374,23.4
22,Philadelphia Eagles,16,14,30,1,,1,2,,48,,1,,46,47,22,27,,400,25.0
23,New York Giants,16,15,25,1,,2,1,1,45,1,4,,41,41,29,31,,400,25.0
24,New York Jets,16,10,31,,,,3,1,45,1,1,,43,44,26,32,1,401,25.1
25,Tampa Bay Buccaneers,16,15,28,1,,1,1,,46,1,3,,41,41,29,39,2,410,25.6
26,Jacksonville Jaguars,16,15,24,,,1,4,1,45,,0,,45,45,31,35,2,412,25.8
27,Atlanta Falcons,16,21,20,,,,5,,46,3,4,,40,42,31,38,1,417,26.1
28,New Orleans Saints,16,17,26,,,1,3,,47,3,4,,43,43,31,32,,424,26.5
29,Washington Redskins,16,11,35,1,1,2,2,1,53,2,2,,50,51,22,26,,438,27.4
30,Tennessee Titans,16,17,28,,1,1,1,,48,,1,,47,47,33,39,2,438,27.4
31,Chicago Bears,16,12,34,1,,1,1,,49,,0,,49,49,33,39,,442,27.6
32,Oakland Raiders,16,17,29,1,,2,2,,51,,1,,50,50,32,38,,452,28.3
,Avg Team,,11.9,25.2,0.4,0.2,0.9,1.5,0.4,40.4,0.9,1.8,0.0,38.2,38.4,25.9,30.8,0.7,361.4,22.6
,League Total,,380,807,13,6,28,47,12,1293,28,58,0,1222,1230,829,987,21,11565,22.6
,Avg Tm/G,,0.74,1.58,0.03,0.01,0.05,0.09,0.02,2.53,0.05,0.11,0.00,2.39,2.40,1.62,1.93,0.04,22.6,
