Tm,W,L,W-L%,Pts,PtsO,PtDif,MoV
Washington Redskins,9,7,.563,388,379,9,0.6
Philadelphia Eagles,7,9,.438,377,430,-53,-3.3
New York Giants,6,10,.375,420,442,-22,-1.4
Dallas Cowboys,4,12,.250,275,374,-99,-6.2
Minnesota Vikings,11,5,.688,365,302,63,3.9
Green Bay Packers,10,6,.625,368,323,45,2.8
Detroit Lions,7,9,.438,358,400,-42,-2.6
Chicago Bears,6,10,.375,335,397,-62,-3.9
Carolina Panthers,15,1,.938,500,308,192,12.0
Atlanta Falcons,8,8,.500,339,345,-6,-0.4
New Orleans Saints,7,9,.438,408,476,-68,-4.3
Tampa Bay Buccaneers,6,10,.375,342,417,-75,-4.7
Arizona Cardinals,13,3,.813,489,313,176,11.0
Seattle Seahawks,10,6,.625,423,277,146,9.1
St. Louis Rams,7,9,.438,280,330,-50,-3.1
San Francisco 49ers,5,11,.313,238,387,-149,-9.3
