,,,Downs,Downs,Downs,Downs,Downs,Downs,Red Zone,Red Zone,Red Zone
Rk,Tm,G,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
1,Houston Texans,16,214,61,28.5%,12,7,58.3%,39,22,56.4%
2,Seattle Seahawks,16,195,67,34.4%,7,1,14.3%,38,16,42.1%
3,New Orleans Saints,16,176,71,40.3%,13,10,76.9%,65,44,67.7%
4,Minnesota Vikings,16,206,71,34.5%,22,11,50.0%,43,19,44.2%
5,Kansas City Chiefs,16,217,72,33.2%,27,13,48.1%,40,24,60.0%
6,San Diego Chargers,16,195,74,37.9%,8,7,87.5%,46,23,50.0%
7,Arizona Cardinals,16,210,75,35.7%,17,8,47.1%,47,26,55.3%
8,New York Jets,16,232,77,33.2%,23,13,56.5%,40,14,35.0%
9,Washington Redskins,16,207,78,37.7%,20,11,55.0%,49,27,55.1%
10,St. Louis Rams,16,225,78,34.7%,15,4,26.7%,48,20,41.7%
11,Green Bay Packers,16,220,79,35.9%,21,10,47.6%,49,28,57.1%
12,Denver Broncos,16,227,80,35.2%,14,5,35.7%,37,22,59.5%
13,Dallas Cowboys,16,208,81,38.9%,10,5,50.0%,49,25,51.0%
14,Cleveland Browns,16,203,81,39.9%,15,10,66.7%,62,36,58.1%
15,Atlanta Falcons,16,191,82,42.9%,15,5,33.3%,53,33,62.3%
16,Detroit Lions,16,200,82,41.0%,8,5,62.5%,59,37,62.7%
17,San Francisco 49ers,16,210,82,39.0%,11,6,54.5%,54,32,59.3%
18,New England Patriots,16,225,84,37.3%,18,8,44.4%,42,24,57.1%
19,Oakland Raiders,16,224,84,37.5%,17,9,52.9%,58,30,51.7%
20,Buffalo Bills,16,210,85,40.5%,13,3,23.1%,45,27,60.0%
21,Cincinnati Bengals,16,218,86,39.4%,20,9,45.0%,38,18,47.4%
22,Baltimore Ravens,16,216,86,39.8%,9,4,44.4%,47,25,53.2%
23,Carolina Panthers,16,227,86,37.9%,26,15,57.7%,40,21,52.5%
24,Indianapolis Colts,16,227,89,39.2%,14,10,71.4%,53,33,62.3%
25,Chicago Bears,16,201,89,44.3%,12,5,41.7%,45,27,60.0%
26,Pittsburgh Steelers,16,225,90,40.0%,24,7,29.2%,57,28,49.1%
27,Tennessee Titans,16,216,92,42.6%,12,4,33.3%,53,33,62.3%
28,Miami Dolphins,16,221,96,43.4%,12,4,33.3%,50,30,60.0%
29,Tampa Bay Buccaneers,16,211,97,46.0%,6,4,66.7%,56,36,64.3%
30,Philadelphia Eagles,16,231,99,42.9%,9,6,66.7%,61,40,65.6%
31,Jacksonville Jaguars,16,227,105,46.3%,12,6,50.0%,57,35,61.4%
32,New York Giants,16,230,108,47.0%,14,8,57.1%,52,28,53.8%
,League Total,,,,,,,,,,
