Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,Chicago Bears,16,9,10,1,,,,,20,,0,,19,20,21,29,,202,12.6
2,Indianapolis Colts,16,9,17,,1,,,,27,2,3,,24,24,19,27,,247,15.4
3,Pittsburgh Steelers,16,10,15,,,,1,1,27,,1,,24,25,24,30,,258,16.1
4,Denver Broncos,16,10,20,,,1,,,31,,1,,30,30,14,18,,258,16.1
5,Carolina Panthers,16,9,15,,,,3,,27,3,5,,22,22,23,27,,259,16.2
6,Jacksonville Jaguars,16,4,22,1,,2,,1,30,,0,,29,30,20,27,,269,16.8
7,Seattle Seahawks,16,5,18,,1,,,,24,2,3,,21,21,34,42,,271,16.9
8,Tampa Bay Buccaneers,16,10,15,,1,,2,,28,1,1,,26,27,26,33,,274,17.1
9,Washington Redskins,16,15,15,,,1,1,,32,2,2,,29,29,22,31,1,293,18.3
10,Baltimore Ravens,16,8,18,1,,,3,,30,1,1,,28,29,29,31,1,299,18.7
11,Cleveland Browns,16,11,19,,,1,,,31,,0,,31,31,28,35,,301,18.8
12,Dallas Cowboys,16,13,18,,,2,2,,35,,0,,35,35,21,27,,308,19.3
13,San Diego Chargers,16,14,20,,,,1,1,36,,1,,34,35,20,29,1,312,19.5
14,New York Giants,16,12,20,1,1,,2,,36,,1,,35,35,21,30,,314,19.6
15,Miami Dolphins,16,11,23,,,1,,,35,1,3,,31,32,24,24,1,317,19.8
16,Kansas City Chiefs,16,11,25,,1,,1,,38,2,5,,33,33,20,26,,325,20.3
17,New England Patriots,16,11,25,,,,2,,38,1,4,,34,34,24,30,1,338,21.1
18,Atlanta Falcons,16,18,18,,,2,,,38,,0,,38,38,25,30,,341,21.3
19,Minnesota Vikings,16,14,23,,,,,,37,1,3,,34,34,28,33,1,344,21.5
20,Green Bay Packers,16,10,22,,,2,3,,37,1,2,,33,35,29,34,,344,21.5
21,Detroit Lions,16,15,19,2,1,,2,,39,1,1,,37,37,24,30,,345,21.6
22,Cincinnati Bengals,16,16,21,,1,,1,,39,2,2,,37,37,25,28,,350,21.9
23,New York Jets,16,19,17,,,1,1,,38,,0,,37,37,30,35,,355,22.2
24,Buffalo Bills,16,22,19,,1,,2,,44,,0,,44,44,19,25,1,367,22.9
25,Oakland Raiders,16,18,18,,,,4,,40,1,3,,34,37,35,38,1,383,23.9
26,Arizona Cardinals,16,22,17,1,3,2,1,,46,1,1,,44,45,21,24,1,387,24.2
27,Philadelphia Eagles,16,15,24,,1,2,4,,46,,0,,46,46,22,27,,388,24.3
28,New Orleans Saints,16,16,20,,,3,3,1,43,,0,,43,43,31,39,2,398,24.9
29,Tennessee Titans,16,12,33,,,2,4,,51,2,2,,48,49,21,27,,421,26.3
30,San Francisco 49ers,16,19,28,,,,1,1,49,2,5,,43,44,29,36,,428,26.8
31,St. Louis Rams,16,22,26,1,,1,,,50,1,1,,49,49,26,33,,429,26.8
32,Houston Texans,16,21,24,1,,1,3,,50,,2,,47,47,28,32,,431,26.9
,Avg Team,,13.5,20.1,0.3,0.4,0.7,1.5,0.2,36.6,0.8,1.5,0.0,34.3,34.8,24.5,30.2,0.3,329.9,20.6
,League Total,,431,644,9,12,23,47,6,1172,27,47,0,1099,1114,783,967,11,10556,20.6
,Avg Tm/G,,0.84,1.26,0.02,0.02,0.04,0.09,0.01,2.29,0.05,0.09,0.00,2.15,2.18,1.53,1.89,0.02,20.6,
