,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Tm,G,FGA,FGM,FG%,XPA,XPM,XP%
1,Cleveland Browns,16,35,28,80.0%,31,31,100.0%
2,San Francisco 49ers,16,36,29,80.6%,44,43,97.7%
3,Detroit Lions,16,30,24,80.0%,37,37,100.0%
4,New York Jets,16,35,30,85.7%,37,37,100.0%
5,New Orleans Saints,16,39,31,79.5%,43,43,100.0%
6,Chicago Bears,16,29,21,72.4%,20,19,95.0%
7,Baltimore Ravens,16,31,29,93.5%,29,28,96.6%
8,Green Bay Packers,16,34,29,85.3%,35,33,94.3%
9,Houston Texans,16,32,28,87.5%,47,47,100.0%
10,Tampa Bay Buccaneers,16,33,26,78.8%,27,26,96.3%
11,Oakland Raiders,16,38,35,92.1%,37,34,91.9%
12,Buffalo Bills,16,25,19,76.0%,44,44,100.0%
13,Tennessee Titans,16,27,21,77.8%,49,48,98.0%
14,Atlanta Falcons,16,30,25,83.3%,38,38,100.0%
15,Philadelphia Eagles,16,27,22,81.5%,46,46,100.0%
16,Washington Redskins,16,31,22,71.0%,29,29,100.0%
17,Miami Dolphins,16,24,24,100.0%,32,31,96.9%
18,Dallas Cowboys,16,27,21,77.8%,35,35,100.0%
19,Minnesota Vikings,16,33,28,84.8%,34,34,100.0%
20,Arizona Cardinals,16,24,21,87.5%,45,44,97.8%
21,New England Patriots,16,30,24,80.0%,34,34,100.0%
22,St. Louis Rams,16,33,26,78.8%,49,49,100.0%
23,Jacksonville Jaguars,16,27,20,74.1%,30,29,96.7%
24,San Diego Chargers,16,29,20,69.0%,35,34,97.1%
25,Pittsburgh Steelers,16,30,24,80.0%,25,24,96.0%
26,Denver Broncos,16,18,14,77.8%,30,30,100.0%
27,Kansas City Chiefs,16,26,20,76.9%,33,33,100.0%
28,Indianapolis Colts,16,27,19,70.4%,24,24,100.0%
29,Carolina Panthers,16,27,23,85.2%,22,22,100.0%
30,Cincinnati Bengals,16,28,25,89.3%,37,37,100.0%
31,Seattle Seahawks,16,42,34,81.0%,21,21,100.0%
32,New York Giants,16,30,21,70.0%,35,35,100.0%
,Avg Team,,30.2,24.5,81.0%,34.8,34.3,98.7%
,League Total,,967,783,81.0%,1114,1099,98.7%
,Avg Tm/G,,1.9,1.5,81.0%,2.2,2.1,98.7%
