,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Tm,G,FGA,FGM,FG%,XPA,XPM,XP%
1,Philadelphia Eagles,16,32,27,84.4%,47,45,95.7%
2,New York Jets,16,35,29,82.9%,52,50,96.2%
3,Jacksonville Jaguars,16,39,31,79.5%,55,51,92.7%
4,New York Giants,16,36,32,88.9%,31,29,93.5%
5,New England Patriots,16,27,22,81.5%,39,37,94.9%
6,Minnesota Vikings,16,39,35,89.7%,46,42,91.3%
7,Denver Broncos,16,42,39,92.9%,44,41,93.2%
8,Washington Football Team,16,27,24,88.9%,36,33,91.7%
9,San Francisco 49ers,16,37,33,89.2%,40,37,92.5%
10,Cincinnati Bengals,16,38,33,86.8%,44,43,97.7%
11,Detroit Lions,16,20,16,80.0%,62,53,85.5%
12,Pittsburgh Steelers,16,24,20,83.3%,33,32,97.0%
13,Chicago Bears,16,35,29,82.9%,40,37,92.5%
14,Houston Texans,16,31,25,80.6%,50,49,98.0%
15,Los Angeles Chargers,16,32,28,87.5%,44,40,90.9%
16,Cleveland Browns,16,27,23,85.2%,41,38,92.7%
17,Los Angeles Rams,16,26,22,84.6%,32,32,100.0%
18,Carolina Panthers,16,31,29,93.5%,43,37,86.0%
19,Miami Dolphins,16,23,17,73.9%,41,39,95.1%
20,Arizona Cardinals,16,30,25,83.3%,38,36,94.7%
21,Seattle Seahawks,16,35,29,82.9%,33,26,78.8%
22,Dallas Cowboys,16,27,24,88.9%,48,45,93.8%
23,Atlanta Falcons,16,28,24,85.7%,45,44,97.8%
24,Green Bay Packers,16,27,24,88.9%,37,35,94.6%
25,Tennessee Titans,16,23,21,91.3%,47,42,89.4%
26,Kansas City Chiefs,16,26,18,69.2%,40,38,95.0%
27,Las Vegas Raiders,16,39,32,82.1%,48,44,91.7%
28,Baltimore Ravens,16,24,16,66.7%,30,25,83.3%
29,Indianapolis Colts,16,23,19,82.6%,41,41,100.0%
30,New Orleans Saints,16,26,22,84.6%,35,33,94.3%
31,Tampa Bay Buccaneers,16,26,21,80.8%,39,38,97.4%
32,Buffalo Bills,16,25,23,92.0%,37,32,86.5%
,Avg Team,,30.0,25.4,84.6%,41.8,38.9,93.0%
,League Total,,960,812,84.6%,1338,1244,93.0%
,Avg Tm/G,,1.9,1.6,84.6%,2.6,2.4,93.0%
