Rk,Tm,G,Att,Yds,TD,Y/A,Y/G,EXP
1,Tennessee Titans,16,342,1295,10,3.8,80.9,70.35
2,Jacksonville Jaguars,16,442,1406,12,3.2,87.9,133.12
3,Dallas Cowboys,16,413,1425,7,3.5,89.1,80.45
4,New England Patriots,16,401,1434,10,3.6,89.6,55.81
5,Miami Dolphins,16,441,1452,11,3.3,90.8,120.94
6,Baltimore Ravens,16,448,1536,6,3.4,96.0,106.72
7,Denver Broncos,16,379,1605,11,4.2,100.3,91.18
8,Buffalo Bills,16,464,1606,11,3.5,100.4,98.67
9,San Francisco 49ers,16,420,1690,13,4.0,105.6,79.56
10,Green Bay Packers,16,413,1701,10,4.1,106.3,42.90
11,Carolina Panthers,16,434,1722,10,4.0,107.6,110.41
12,Pittsburgh Steelers,16,449,1741,14,3.9,108.8,129.04
13,Tampa Bay Buccaneers,16,451,1756,6,3.9,109.8,100.82
14,Seattle Seahawks,16,456,1759,9,3.9,109.9,115.29
15,Detroit Lions,16,447,1782,14,4.0,111.4,86.68
16,Chicago Bears,16,449,1865,13,4.2,116.6,52.32
17,Minnesota Vikings,16,387,1879,22,4.9,117.4,59.53
18,New York Giants,16,496,1908,12,3.8,119.3,104.58
19,Arizona Cardinals,16,475,1915,17,4.0,119.7,60.94
20,St. Louis Rams,16,412,1980,9,4.8,123.8,42.61
21,Indianapolis Colts,16,437,1980,19,4.5,123.8,40.67
22,Philadelphia Eagles,16,461,2071,13,4.5,129.4,34.83
23,Cleveland Browns,16,457,2113,14,4.6,132.1,40.06
24,Washington Redskins,16,504,2217,20,4.4,138.6,49.44
25,San Diego Chargers,16,518,2218,12,4.3,138.6,35.06
26,Cincinnati Bengals,16,461,2218,18,4.8,138.6,46.78
27,New Orleans Saints,16,480,2241,12,4.7,140.1,55.00
28,New York Jets,16,542,2294,17,4.2,143.4,79.83
29,Atlanta Falcons,16,499,2308,21,4.6,144.3,92.32
30,Kansas City Chiefs,16,453,2344,18,5.2,146.5,33.65
31,Houston Texans,16,533,2370,15,4.4,148.1,114.95
32,Oakland Raiders,16,544,2510,21,4.6,156.9,80.26
,Avg Team,,453.4,1885.7,13.3,4.2,117.9,76.4
,League Total,,14508,60341,427,4.2,117.9,
,Avg Tm/G,,28.3,117.9,0.8,4.2,117.9,
