,,,Punting,Punting,Punting,Punting
Rk,Tm,G,Pnt,Yds,Y/P,Blck
1,St. Louis Rams,16,74,3064,41.4,
2,Minnesota Vikings,16,64,2579,40.3,
3,Indianapolis Colts,16,74,3115,42.1,
4,San Francisco 49ers,16,76,2972,39.1,
5,Jacksonville Jaguars,16,75,3075,41.0,
6,Tennessee Titans,16,78,3292,42.2,
7,Seattle Seahawks,16,76,3025,39.8,
8,Green Bay Packers,16,83,3403,41.0,
9,Denver Broncos,16,85,3663,43.1,
10,New York Jets,16,66,2521,38.2,
11,New Orleans Saints,16,76,3184,41.9,
12,Cleveland Browns,16,76,3146,41.4,
13,Cincinnati Bengals,16,67,2848,42.5,
14,Philadelphia Eagles,16,78,3034,38.9,
15,Kansas City Chiefs,16,73,2971,40.7,
16,San Diego Chargers,16,74,3160,42.7,
17,Chicago Bears,16,76,3070,40.4,
18,Tampa Bay Buccaneers,16,82,3559,43.4,
19,Washington Redskins,16,71,2996,42.2,
20,Miami Dolphins,16,80,3296,41.2,
21,Arizona Cardinals,16,67,2680,40.0,
22,Carolina Panthers,16,90,3780,42.0,
23,Buffalo Bills,16,93,3553,38.2,
24,Pittsburgh Steelers,16,91,3695,40.6,
25,Atlanta Falcons,16,82,3559,43.4,
26,New England Patriots,16,90,3654,40.6,
27,Baltimore Ravens,16,105,4210,40.1,
28,New York Giants,16,82,2919,35.6,
29,Dallas Cowboys,16,105,4473,42.6,
30,Oakland Raiders,16,82,3272,39.9,
31,Houston Texans,16,75,3128,41.7,
32,Detroit Lions,16,84,3570,42.5,
,Avg Team,,79.7,3291.8,41.3,0.7
,League Total,,2550,105338,41.3,21
,Avg Tm/G,,5.0,205.7,41.3,0.0
