Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,New England Patriots,16,10,11,1,,,1,,23,1,2,,21,21,25,35,1,238,14.9
2,Dallas Cowboys,16,7,18,,,2,1,,28,2,2,,23,26,21,23,1,260,16.3
3,Miami Dolphins,16,11,12,,,,3,,26,,2,,23,23,26,31,2,261,16.3
4,Tampa Bay Buccaneers,16,6,16,,,1,4,,27,,0,,27,27,25,34,,264,16.5
5,Buffalo Bills,16,11,18,,,,1,,30,2,4,,26,26,23,31,,279,17.4
6,Baltimore Ravens,16,6,19,,1,2,,,28,1,1,,27,27,28,31,,281,17.6
7,Philadelphia Eagles,16,13,17,,1,,1,,32,1,4,,27,28,22,30,,287,17.9
8,New York Jets,16,17,14,1,,,2,,34,1,1,,33,33,20,27,,299,18.7
9,Denver Broncos,16,11,17,1,,1,2,,32,2,3,,28,29,25,28,1,301,18.8
10,Carolina Panthers,16,10,19,1,,3,2,,35,,2,,31,32,21,32,,304,19.0
11,Green Bay Packers,16,10,18,,1,,2,,31,1,1,,29,29,30,33,,307,19.2
12,Cleveland Browns,16,14,13,,,,4,,31,,0,,31,31,35,43,,322,20.1
13,Tennessee Titans,16,10,20,1,,1,3,,35,,1,,34,34,26,30,1,324,20.3
14,New Orleans Saints,16,12,20,,2,1,1,,36,,1,,35,35,25,31,,326,20.4
15,Seattle Seahawks,16,9,24,,,,1,2,36,1,1,,34,35,25,31,,327,20.4
16,Pittsburgh Steelers,16,14,20,,1,,3,,38,1,3,,32,35,21,24,1,327,20.4
17,St. Louis Rams,16,9,23,2,2,2,1,,39,,3,,35,36,19,24,1,328,20.5
18,Jacksonville Jaguars,16,12,23,,,1,1,,37,1,3,,33,34,24,27,1,331,20.7
19,Kansas City Chiefs,16,18,19,1,,,1,,39,,0,,39,39,19,25,1,332,20.8
20,Indianapolis Colts,16,19,18,,2,1,1,,41,2,3,,38,38,16,21,,336,21.0
21,San Francisco 49ers,16,13,25,1,,1,1,,41,,1,,40,40,17,26,,337,21.1
22,Chicago Bears,16,13,20,,1,,2,,36,3,3,,31,33,31,38,,346,21.6
23,Minnesota Vikings,16,22,17,,,2,1,,42,1,6,,36,36,21,26,,353,22.1
24,Washington Redskins,16,20,23,,,,2,,45,,0,,45,45,19,31,,372,23.3
25,Oakland Raiders,16,21,21,,,,,,42,4,6,,35,36,28,34,,379,23.7
26,Detroit Lions,16,14,26,1,1,1,4,,47,,1,,46,46,17,24,,379,23.7
27,Houston Texans,16,15,22,1,,1,3,,42,,2,,40,40,28,35,2,380,23.8
28,Cincinnati Bengals,16,18,23,,,,2,,43,2,4,,38,38,28,33,,384,24.0
29,New York Giants,16,12,25,2,,1,2,1,43,1,1,,41,42,28,37,1,387,24.2
30,Atlanta Falcons,16,21,28,1,,,1,,51,2,3,,47,48,19,25,4,422,26.4
31,San Diego Chargers,16,12,36,2,1,1,1,,53,,0,,52,53,23,26,1,441,27.6
32,Arizona Cardinals,16,17,29,2,,2,4,1,55,,2,,53,53,21,28,3,452,28.3
,Avg Team,,13.3,20.4,0.6,0.4,0.8,1.8,0.1,37.4,0.9,1.9,0.0,34.7,35.3,23.6,29.8,0.7,333.3,20.8
,League Total,,427,654,18,13,24,58,4,1198,29,60,0,1110,1128,756,954,21,10666,20.8
,Avg Tm/G,,0.83,1.28,0.04,0.03,0.05,0.11,0.01,2.34,0.06,0.12,0.00,2.17,2.20,1.48,1.86,0.04,20.8,
