,,,Punting,Punting,Punting,Punting
Rk,Tm,G,Pnt,Yds,Y/P,Blck
1,Buffalo Bills,16,64,2921,45.6,0
2,Detroit Lions,17,55,2540,46.2,0
3,Kansas City Chiefs,17,68,3240,47.6,0
4,Green Bay Packers,17,60,2779,46.3,0
5,Philadelphia Eagles,17,73,3569,48.9,0
6,Baltimore Ravens,17,68,3180,46.8,0
7,Jacksonville Jaguars,17,60,2788,46.5,0
8,Cincinnati Bengals,16,63,2991,47.5,0
9,Las Vegas Raiders,17,56,2666,47.6,1
10,San Francisco 49ers,17,75,3589,47.9,0
11,Cleveland Browns,17,64,2945,46.0,0
12,Miami Dolphins,17,67,2925,43.7,1
13,Atlanta Falcons,17,54,2446,45.3,2
14,Seattle Seahawks,17,62,2926,47.2,0
15,Dallas Cowboys,17,71,3273,46.1,1
16,Chicago Bears,17,51,2485,48.7,0
17,Arizona Cardinals,17,71,3365,47.4,0
18,Pittsburgh Steelers,17,68,3148,46.3,0
19,Indianapolis Colts,17,75,3478,46.4,1
20,Los Angeles Chargers,17,66,3223,48.8,0
21,Los Angeles Rams,17,59,2810,47.6,0
22,Minnesota Vikings,17,60,2663,44.4,2
23,New York Giants,17,67,3065,45.7,1
24,New Orleans Saints,17,80,3563,44.5,0
25,Tampa Bay Buccaneers,17,88,4297,48.8,0
26,New England Patriots,17,71,3187,44.9,1
27,Carolina Panthers,17,78,3581,45.9,0
28,New York Jets,17,77,3428,44.5,2
29,Washington Commanders,17,87,4137,47.6,0
30,Houston Texans,17,73,3458,47.4,0
31,Tennessee Titans,17,84,3789,45.1,0
32,Denver Broncos,17,85,4374,51.5,0
,Avg Team,,68.8,3213.4,46.7,0.4
,League Total,,2200,102829,46.7,12
,Avg Tm/G,,4.1,189.7,46.7,0.0
