Tm,W,L,W-L%,Pts,PtsO,PtDif,MoV
Philadelphia Eagles,13,3,.813,457,295,162,10.1
Dallas Cowboys,9,7,.563,354,332,22,1.4
Washington Redskins,7,9,.438,342,388,-46,-2.9
New York Giants,3,13,.188,246,388,-142,-8.9
Minnesota Vikings,13,3,.813,382,252,130,8.1
Detroit Lions,9,7,.563,410,376,34,2.1
Green Bay Packers,7,9,.438,320,384,-64,-4.0
Chicago Bears,5,11,.313,264,320,-56,-3.5
New Orleans Saints,11,5,.688,448,326,122,7.6
Carolina Panthers,11,5,.688,363,327,36,2.3
Atlanta Falcons,10,6,.625,353,315,38,2.4
Tampa Bay Buccaneers,5,11,.313,335,382,-47,-2.9
Los Angeles Rams,11,5,.688,478,329,149,9.3
Seattle Seahawks,9,7,.563,366,332,34,2.1
Arizona Cardinals,8,8,.500,295,361,-66,-4.1
San Francisco 49ers,6,10,.375,331,383,-52,-3.3
