,,,Punting,Punting,Punting,Punting
Rk,Tm,G,Pnt,Yds,Y/P,Blck
1,Atlanta Falcons,16,66,3078,46.6,0
2,New England Patriots,16,67,3009,44.9,1
3,New Orleans Saints,16,71,3185,44.9,1
4,Pittsburgh Steelers,16,77,3470,45.1,1
5,Los Angeles Rams,16,80,3561,44.5,3
6,Kansas City Chiefs,16,72,3064,42.6,0
7,Dallas Cowboys,16,70,3149,45.0,0
8,Tampa Bay Buccaneers,16,59,2738,46.4,0
9,Oakland Raiders,16,70,3106,44.4,0
10,Philadelphia Eagles,16,83,3725,44.9,1
11,Minnesota Vikings,16,86,3892,45.3,0
12,Carolina Panthers,16,69,3187,46.2,0
13,Green Bay Packers,16,67,2884,43.0,0
14,Detroit Lions,16,71,3210,45.2,0
15,Los Angeles Chargers,16,79,3582,45.3,0
16,Tennessee Titans,16,75,3617,48.2,0
17,San Francisco 49ers,16,74,3461,46.8,0
18,Denver Broncos,16,88,4080,46.4,1
19,Buffalo Bills,16,62,2671,43.1,0
20,Miami Dolphins,16,76,3477,45.8,1
21,Cleveland Browns,16,83,3694,44.5,0
22,Washington Redskins,16,80,3537,44.2,0
23,Indianapolis Colts,16,64,2911,45.5,1
24,Baltimore Ravens,16,77,3439,44.7,0
25,Chicago Bears,16,74,3491,47.2,0
26,Arizona Cardinals,16,95,4433,46.7,0
27,Jacksonville Jaguars,16,100,4557,45.6,0
28,Cincinnati Bengals,16,82,3704,45.2,1
29,Houston Texans,16,81,3828,47.3,0
30,Seattle Seahawks,16,85,3779,44.5,0
31,New York Jets,16,87,3978,45.7,0
32,New York Giants,16,74,3380,45.7,0
,Avg Team,,76.4,3464.8,45.4,0.3
,League Total,,2444,110874,45.4,11
,Avg Tm/G,,4.8,216.6,45.4,0.0
