Tm,W,L,T,W-L%,Pts,PtsO,PtDif,MoV
Miami Dolphins,11,5,0,.688,345,317,28,1.8
New England Patriots,11,5,0,.688,410,309,101,6.3
New York Jets,9,7,0,.563,405,356,49,3.1
Buffalo Bills,7,9,0,.438,336,342,-6,-0.4
Pittsburgh Steelers,12,4,0,.750,347,223,124,7.8
Baltimore Ravens,11,5,0,.688,385,244,141,8.8
Cincinnati Bengals,4,11,1,.281,204,364,-160,-10.0
Cleveland Browns,4,12,0,.250,232,350,-118,-7.4
Tennessee Titans,13,3,0,.813,375,234,141,8.8
Indianapolis Colts,12,4,0,.750,377,298,79,4.9
Houston Texans,8,8,0,.500,366,394,-28,-1.8
Jacksonville Jaguars,5,11,0,.313,302,367,-65,-4.1
San Diego Chargers,8,8,0,.500,439,347,92,5.8
Denver Broncos,8,8,0,.500,370,448,-78,-4.9
Oakland Raiders,5,11,0,.313,263,388,-125,-7.8
Kansas City Chiefs,2,14,0,.125,291,440,-149,-9.3
