Tm,W,L,T,W-L%,Pts,PtsO,PtDif,MoV
Dallas Cowboys,13,3,0,.813,421,306,115,7.2
New York Giants,11,5,0,.688,310,284,26,1.6
Washington Redskins,8,7,1,.531,396,383,13,0.8
Philadelphia Eagles,7,9,0,.438,367,331,36,2.3
Green Bay Packers,10,6,0,.625,432,388,44,2.8
Detroit Lions,9,7,0,.563,346,358,-12,-0.8
Minnesota Vikings,8,8,0,.500,327,307,20,1.3
Chicago Bears,3,13,0,.188,279,399,-120,-7.5
Atlanta Falcons,11,5,0,.688,540,406,134,8.4
Tampa Bay Buccaneers,9,7,0,.563,354,369,-15,-0.9
New Orleans Saints,7,9,0,.438,469,454,15,0.9
Carolina Panthers,6,10,0,.375,369,402,-33,-2.1
Seattle Seahawks,10,5,1,.656,354,292,62,3.9
Arizona Cardinals,7,8,1,.469,418,362,56,3.5
Los Angeles Rams,4,12,0,.250,224,394,-170,-10.6
San Francisco 49ers,2,14,0,.125,309,480,-171,-10.7
