,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Tm,G,FGA,FGM,FG%,XPA,XPM,XP%
1,St. Louis Rams,16,22,19,86.4%,52,51,98.1%
2,Oakland Raiders,16,40,30,75.0%,41,41,100.0%
3,Cleveland Browns,16,36,30,83.3%,41,39,95.1%
4,Tampa Bay Buccaneers,16,32,26,81.3%,46,44,95.7%
5,Washington Redskins,16,36,31,86.1%,31,31,100.0%
6,Detroit Lions,16,34,31,91.2%,55,55,100.0%
7,Seattle Seahawks,16,31,22,71.0%,44,44,100.0%
8,Buffalo Bills,16,28,22,78.6%,32,32,100.0%
9,Cincinnati Bengals,16,29,23,79.3%,30,30,100.0%
10,Kansas City Chiefs,16,37,29,78.4%,47,47,100.0%
11,Carolina Panthers,16,27,19,70.4%,33,33,100.0%
12,Jacksonville Jaguars,16,28,24,85.7%,38,38,100.0%
13,Chicago Bears,16,33,25,75.8%,40,38,95.0%
14,San Francisco 49ers,16,34,29,85.3%,27,26,96.3%
15,Arizona Cardinals,16,25,19,76.0%,38,38,100.0%
16,Miami Dolphins,16,39,33,84.6%,37,35,94.6%
17,Denver Broncos,16,31,29,93.5%,34,33,97.1%
18,New York Jets,16,23,19,82.6%,24,23,95.8%
19,Tennessee Titans,16,27,22,81.5%,47,46,97.9%
20,Indianapolis Colts,16,36,30,83.3%,27,27,100.0%
21,Dallas Cowboys,16,26,18,69.2%,28,28,100.0%
22,Pittsburgh Steelers,16,29,22,75.9%,32,32,100.0%
23,Atlanta Falcons,16,28,20,71.4%,38,37,97.4%
24,Houston Texans,16,23,20,87.0%,39,39,100.0%
25,New York Giants,16,21,18,85.7%,51,47,92.2%
26,Baltimore Ravens,16,27,24,88.9%,27,27,100.0%
27,New England Patriots,16,20,14,70.0%,34,33,97.1%
28,Philadelphia Eagles,16,24,21,87.5%,38,38,100.0%
29,Minnesota Vikings,16,26,22,84.6%,31,30,96.8%
30,Green Bay Packers,16,17,13,76.5%,34,34,100.0%
31,San Diego Chargers,16,29,25,86.2%,33,33,100.0%
32,New Orleans Saints,16,32,27,84.4%,36,36,100.0%
,Avg Team,,29.1,23.6,81.3%,37.0,36.4,98.3%
,League Total,,930,756,81.3%,1185,1165,98.3%
,Avg Tm/G,,1.8,1.5,81.3%,2.3,2.3,98.3%
