,,,Punting,Punting,Punting,Punting
Rk,Tm,G,Pnt,Yds,Y/P,Blck
1,San Diego Chargers,16,63,2709,43.0,
2,New Orleans Saints,16,71,3053,43.0,
3,New England Patriots,16,79,3271,41.4,
4,New York Giants,16,72,3168,44.0,
5,Indianapolis Colts,16,65,2886,44.4,
6,Atlanta Falcons,16,62,2635,42.5,
7,Houston Texans,16,76,3557,46.8,
8,Green Bay Packers,16,74,3330,45.0,
9,Tennessee Titans,16,76,3367,44.3,
10,Pittsburgh Steelers,16,86,3681,42.8,
11,Dallas Cowboys,16,92,4085,44.4,
12,Jacksonville Jaguars,16,62,2784,44.9,
13,Minnesota Vikings,16,89,3978,44.7,
14,Detroit Lions,16,66,2878,43.6,
15,Baltimore Ravens,16,79,3429,43.4,
16,Miami Dolphins,16,67,2955,44.1,
17,Philadelphia Eagles,16,80,3600,45.0,
18,Washington Redskins,16,70,2926,41.8,
19,Chicago Bears,16,71,3025,42.6,
20,Denver Broncos,16,76,3519,46.3,
21,Carolina Panthers,16,74,3315,44.8,
22,New York Jets,16,99,4277,43.2,
23,Arizona Cardinals,16,84,3772,44.9,
24,Cincinnati Bengals,16,83,3644,43.9,
25,Tampa Bay Buccaneers,16,72,3082,42.8,
26,Seattle Seahawks,16,82,3870,47.2,
27,St. Louis Rams,16,75,3322,44.3,
28,Buffalo Bills,16,78,3214,41.2,
29,Cleveland Browns,16,77,3319,43.1,
30,Oakland Raiders,16,77,3296,42.8,
31,Kansas City Chiefs,16,79,3484,44.1,
32,San Francisco 49ers,16,95,4294,45.2,
,Avg Team,,76.6,3374.8,44.1,0.2
,League Total,,2451,107993,44.1,6
,Avg Tm/G,,4.8,210.9,44.1,0.0
