Rk,Tm,G,Att,Yds,TD,Y/A,Y/G,EXP
1,Green Bay Packers,16,371,1333,5,3.6,83.3,109.36
2,Minnesota Vikings,16,357,1394,5,3.9,87.1,84.81
3,Pittsburgh Steelers,16,372,1438,7,3.9,89.9,41.20
4,Dallas Cowboys,16,365,1448,7,4.0,90.5,63.68
5,Baltimore Ravens,16,435,1492,8,3.4,93.3,94.45
6,San Francisco 49ers,16,426,1552,12,3.6,97.0,120.14
7,Cincinnati Bengals,16,399,1573,12,3.9,98.3,76.18
8,New York Jets,16,420,1578,11,3.8,98.6,99.95
9,Philadelphia Eagles,16,413,1675,11,4.1,104.7,99.21
10,Atlanta Falcons,16,433,1711,10,4.0,106.9,102.29
11,Tennessee Titans,16,402,1711,16,4.3,106.9,58.23
12,Houston Texans,16,396,1711,17,4.3,106.9,75.97
13,New England Patriots,16,398,1768,6,4.4,110.5,45.58
14,New York Giants,16,423,1773,21,4.2,110.8,43.77
15,Seattle Seahawks,16,428,1776,17,4.1,111.0,67.77
16,Washington Redskins,16,449,1799,10,4.0,112.4,122.30
17,Arizona Cardinals,16,402,1804,13,4.5,112.8,34.23
18,Miami Dolphins,16,435,1835,16,4.2,114.7,78.06
19,Jacksonville Jaguars,16,458,1863,12,4.1,116.4,112.85
20,San Diego Chargers,16,422,1884,10,4.5,117.8,68.61
21,New Orleans Saints,16,435,1955,19,4.5,122.2,40.37
22,Carolina Panthers,16,450,1997,15,4.4,124.8,72.86
23,Chicago Bears,16,467,2022,14,4.3,126.4,76.23
24,Indianapolis Colts,16,467,2024,10,4.3,126.5,55.33
25,Detroit Lions,16,458,2025,18,4.4,126.6,96.62
26,Denver Broncos,16,458,2059,11,4.5,128.7,111.91
27,St. Louis Rams,16,500,2201,24,4.4,137.6,31.80
28,Cleveland Browns,16,506,2314,15,4.6,144.6,25.21
29,Oakland Raiders,16,548,2488,24,4.5,155.5,25.15
30,Buffalo Bills,16,535,2501,19,4.7,156.3,16.91
31,Kansas City Chiefs,16,531,2504,18,4.7,156.5,61.99
32,Tampa Bay Buccaneers,16,529,2531,16,4.8,158.2,49.18
,Avg Team,,440.3,1866.8,13.4,4.2,116.7,70.7
,League Total,,14088,59739,429,4.2,116.7,
,Avg Tm/G,,27.5,116.7,0.8,4.2,116.7,
