,,,Downs,Downs,Downs,Downs,Downs,Downs,Red Zone,Red Zone,Red Zone
Rk,Tm,G,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
1,Tennessee Titans,16,184,51,27.7%,18,11,61.1%,41,18,43.9%
2,Denver Broncos,16,207,61,29.5%,25,12,48.0%,35,15,42.9%
3,Tampa Bay Buccaneers,16,214,68,31.8%,18,7,38.9%,40,14,35.0%
4,Baltimore Ravens,16,235,69,29.4%,17,5,29.4%,33,16,48.5%
5,Dallas Cowboys,16,227,69,30.4%,15,7,46.7%,34,16,47.1%
6,Minnesota Vikings,16,182,70,38.5%,14,6,42.9%,59,36,61.0%
7,Pittsburgh Steelers,16,209,71,34.0%,16,7,43.8%,45,23,51.1%
8,Indianapolis Colts,16,188,72,38.3%,11,6,54.5%,41,27,65.9%
9,St. Louis Rams,16,209,75,35.9%,21,9,42.9%,48,26,54.2%
10,Carolina Panthers,16,225,78,34.7%,16,5,31.3%,41,20,48.8%
11,Philadelphia Eagles,16,221,78,35.3%,22,8,36.4%,42,20,47.6%
12,Kansas City Chiefs,16,213,78,36.6%,23,10,43.5%,47,24,51.1%
13,New Orleans Saints,16,208,79,38.0%,16,9,56.3%,53,26,49.1%
14,Oakland Raiders,16,215,80,37.2%,14,8,57.1%,55,32,58.2%
15,New England Patriots,16,235,81,34.5%,16,6,37.5%,46,18,39.1%
16,Miami Dolphins,16,222,81,36.5%,12,2,16.7%,43,14,32.6%
17,Washington Redskins,16,209,84,40.2%,11,8,72.7%,58,36,62.1%
18,New York Jets,16,207,84,40.6%,22,10,45.5%,52,24,46.2%
19,Chicago Bears,16,214,84,39.3%,15,6,40.0%,57,28,49.1%
20,New York Giants,16,225,85,37.8%,11,5,45.5%,49,26,53.1%
21,Green Bay Packers,16,228,85,37.3%,17,4,23.5%,46,18,39.1%
22,Cincinnati Bengals,16,206,85,41.3%,14,9,64.3%,55,30,54.5%
23,San Francisco 49ers,16,209,85,40.7%,12,7,58.3%,44,26,59.1%
24,Buffalo Bills,16,225,86,38.2%,13,7,53.8%,45,23,51.1%
25,Atlanta Falcons,16,216,86,39.8%,14,5,35.7%,66,38,57.6%
26,Detroit Lions,16,214,87,40.7%,13,8,61.5%,43,30,69.8%
27,Cleveland Browns,16,222,87,39.2%,13,8,61.5%,48,18,37.5%
28,Houston Texans,16,222,89,40.1%,14,10,71.4%,52,23,44.2%
29,Jacksonville Jaguars,16,218,92,42.2%,14,7,50.0%,44,23,52.3%
30,Arizona Cardinals,16,199,92,46.2%,8,3,37.5%,60,37,61.7%
31,San Diego Chargers,16,231,97,42.0%,18,10,55.6%,50,35,70.0%
32,Seattle Seahawks,16,235,99,42.1%,18,7,38.9%,50,23,46.0%
,League Total,,,,,,,,,,
