,,,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Tm,G,Ret,Yds,TD,Y/R,Rt,Yds,TD,Y/Rt
1,Kansas City Chiefs,16,38,327,1,8.6,87,2043,0,23.5
2,Indianapolis Colts,16,32,319,0,10.0,93,1999,2,21.5
3,Denver Broncos,16,46,560,1,12.2,73,1679,0,23.0
4,Cincinnati Bengals,16,47,403,0,8.6,71,1470,0,20.7
5,New England Patriots,16,38,240,1,6.3,77,1623,0,21.1
6,St. Louis Rams,16,32,484,2,15.1,83,1985,2,23.9
7,Green Bay Packers,16,32,316,0,9.9,82,1707,1,20.8
8,Pittsburgh Steelers,16,47,299,0,6.4,66,1359,1,20.6
9,Baltimore Ravens,16,42,345,0,8.2,70,1495,1,21.4
10,Detroit Lions,16,59,390,1,6.6,53,1313,1,24.8
11,Tennessee Titans,16,30,276,1,9.2,81,1521,0,18.8
12,Oakland Raiders,16,52,669,0,12.9,57,1474,0,25.9
13,Philadelphia Eagles,16,35,272,0,7.8,74,1590,1,21.5
14,Seattle Seahawks,16,29,140,0,4.8,79,1626,0,20.6
15,Buffalo Bills,16,52,577,0,11.1,55,1080,0,19.6
16,San Diego Chargers,16,38,409,2,10.8,67,1437,1,21.4
17,San Francisco 49ers,16,28,258,1,9.2,77,1641,0,21.3
18,Carolina Panthers,16,35,402,1,11.5,70,1425,0,20.4
19,Minnesota Vikings,16,29,310,0,10.7,75,1608,0,21.4
20,New Orleans Saints,16,36,294,0,8.2,67,1587,2,23.7
21,Dallas Cowboys,16,34,227,0,6.7,66,1448,0,21.9
22,Chicago Bears,16,36,277,0,7.7,64,1367,1,21.4
23,Washington Redskins,16,40,393,0,9.8,60,1238,0,20.6
24,Jacksonville Jaguars,16,40,420,0,10.5,58,1227,0,21.2
25,Tampa Bay Buccaneers,16,39,489,0,12.5,59,1393,0,23.6
26,Atlanta Falcons,16,35,301,1,8.6,62,1204,0,19.4
27,New York Giants,16,40,432,2,10.8,56,1128,0,20.1
28,Houston Texans,16,43,410,1,9.5,53,1149,0,21.7
29,New York Jets,16,22,322,1,14.6,71,1496,0,21.1
30,Cleveland Browns,16,33,316,0,9.6,60,1231,0,20.5
31,Arizona Cardinals,16,41,472,2,11.5,48,1042,0,21.7
32,Miami Dolphins,16,29,185,0,6.4,47,1010,0,21.5
,Avg Team,,37.8,360.6,0.6,9.5,67.5,1456.1,0.4,21.6
,League Total,,1209,11540,18,9.5,2161,46595,13,21.6
,Avg Tm/G,,2.4,22.5,0.0,9.5,4.2,91.0,0.0,21.6
