Tm,W,L,W-L%,Pts,PtsO,PtDif,MoV
New England Patriots,14,2,.875,348,238,110,6.9
Miami Dolphins,10,6,.625,311,261,50,3.1
Buffalo Bills,6,10,.375,243,279,-36,-2.3
New York Jets,6,10,.375,283,299,-16,-1.0
Baltimore Ravens,10,6,.625,391,281,110,6.9
Cincinnati Bengals,8,8,.500,346,384,-38,-2.4
Pittsburgh Steelers,6,10,.375,300,327,-27,-1.7
Cleveland Browns,5,11,.313,254,322,-68,-4.3
Indianapolis Colts,12,4,.750,447,336,111,6.9
Tennessee Titans,12,4,.750,435,324,111,6.9
Jacksonville Jaguars,5,11,.313,276,331,-55,-3.4
Houston Texans,5,11,.313,255,380,-125,-7.8
Kansas City Chiefs,13,3,.813,484,332,152,9.5
Denver Broncos,10,6,.625,381,301,80,5.0
Oakland Raiders,4,12,.250,270,379,-109,-6.8
San Diego Chargers,4,12,.250,313,441,-128,-8.0
