Tm,W,L,W-L%,Pts,PtsO,PtDif,MoV
Philadelphia Eagles,12,4,.750,374,287,87,5.4
Dallas Cowboys,10,6,.625,289,260,29,1.8
Washington Redskins,5,11,.313,287,372,-85,-5.3
New York Giants,4,12,.250,243,387,-144,-9.0
Green Bay Packers,10,6,.625,442,307,135,8.4
Minnesota Vikings,9,7,.563,416,353,63,3.9
Chicago Bears,7,9,.438,283,346,-63,-3.9
Detroit Lions,5,11,.313,270,379,-109,-6.8
Carolina Panthers,11,5,.688,325,304,21,1.3
New Orleans Saints,8,8,.500,340,326,14,0.9
Tampa Bay Buccaneers,7,9,.438,301,264,37,2.3
Atlanta Falcons,5,11,.313,299,422,-123,-7.7
St. Louis Rams,12,4,.750,447,328,119,7.4
Seattle Seahawks,10,6,.625,404,327,77,4.8
San Francisco 49ers,7,9,.438,384,337,47,2.9
Arizona Cardinals,4,12,.250,225,452,-227,-14.2
