,,,Downs,Downs,Downs,Downs,Downs,Downs,Red Zone,Red Zone,Red Zone
Rk,Tm,G,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
1,Minnesota Vikings,16,203,68,33.5%,13,5,38.5%,47,20,42.6%
2,Baltimore Ravens,16,212,71,33.5%,16,3,18.8%,39,14,35.9%
3,Pittsburgh Steelers,16,226,71,31.4%,21,10,47.6%,42,14,33.3%
4,Buffalo Bills,16,202,73,36.1%,16,8,50.0%,55,23,41.8%
5,Philadelphia Eagles,16,227,73,32.2%,14,5,35.7%,36,19,52.8%
6,Washington Redskins,16,208,74,35.6%,12,8,66.7%,42,23,54.8%
7,St. Louis Rams,16,187,74,39.6%,6,4,66.7%,53,34,64.2%
8,Houston Texans,16,188,74,39.4%,13,10,76.9%,47,30,63.8%
9,Dallas Cowboys,16,216,77,35.6%,14,8,57.1%,56,26,46.4%
10,Miami Dolphins,16,209,79,37.8%,19,11,57.9%,47,23,48.9%
11,Atlanta Falcons,16,208,79,38.0%,20,10,50.0%,52,27,51.9%
12,Tennessee Titans,16,226,79,35.0%,18,8,44.4%,43,20,46.5%
13,Green Bay Packers,16,210,80,38.1%,23,17,73.9%,51,29,56.9%
14,Tampa Bay Buccaneers,16,214,81,37.9%,13,5,38.5%,36,20,55.6%
15,New York Jets,16,210,81,38.6%,18,13,72.2%,57,29,50.9%
16,Chicago Bears,16,232,81,34.9%,21,10,47.6%,55,30,54.5%
17,Jacksonville Jaguars,16,200,82,41.0%,11,5,45.5%,53,31,58.5%
18,New Orleans Saints,16,206,82,39.8%,14,8,57.1%,60,29,48.3%
19,San Francisco 49ers,16,219,83,37.9%,19,12,63.2%,52,25,48.1%
20,New York Giants,16,204,83,40.7%,16,5,31.3%,35,17,48.6%
21,San Diego Chargers,16,207,84,40.6%,24,13,54.2%,53,28,52.8%
22,Carolina Panthers,16,219,87,39.7%,20,9,45.0%,49,26,53.1%
23,Denver Broncos,16,202,89,44.1%,18,10,55.6%,60,36,60.0%
24,Detroit Lions,16,196,89,45.4%,10,6,60.0%,64,43,67.2%
25,New England Patriots,16,205,91,44.4%,10,2,20.0%,45,30,66.7%
26,Arizona Cardinals,16,207,92,44.4%,17,13,76.5%,55,35,63.6%
27,Cincinnati Bengals,16,218,93,42.7%,11,5,45.5%,49,29,59.2%
28,Seattle Seahawks,16,222,94,42.3%,13,8,61.5%,51,27,52.9%
29,Cleveland Browns,16,207,95,45.9%,17,11,64.7%,54,27,50.0%
30,Kansas City Chiefs,16,211,100,47.4%,14,6,42.9%,67,36,53.7%
31,Indianapolis Colts,16,211,100,47.4%,7,3,42.9%,47,19,40.4%
32,Oakland Raiders,16,232,103,44.4%,13,9,69.2%,54,31,57.4%
,League Total,,,,,,,,,,
