Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,Pittsburgh Steelers,16,7,12,,,,2,,21,,0,,21,21,24,27,2,223,13.9
2,Tennessee Titans,16,12,12,,,1,,,25,,0,,24,24,20,30,,234,14.6
3,Baltimore Ravens,16,4,17,,2,2,1,,26,,0,,25,25,21,22,,244,15.3
4,Philadelphia Eagles,16,7,19,,1,,2,2,31,,0,,29,29,24,28,1,289,18.1
5,New York Giants,16,14,17,,,,2,1,34,1,1,,31,31,19,26,,294,18.4
6,Washington Redskins,16,12,16,2,,2,,,32,1,1,,30,31,24,28,,296,18.5
7,Indianapolis Colts,16,18,6,,,1,3,,28,2,2,,25,25,33,38,1,298,18.6
8,New England Patriots,16,8,27,,2,,,,37,1,1,,34,35,17,21,,309,19.3
9,Miami Dolphins,16,11,18,2,,,2,,33,1,1,,28,28,29,32,1,317,19.8
10,Tampa Bay Buccaneers,16,8,23,,,1,2,,34,1,1,,33,33,28,30,,323,20.2
11,Atlanta Falcons,16,17,20,,,1,,,38,1,1,,35,35,20,25,,325,20.3
12,Carolina Panthers,16,14,19,1,,1,,2,37,2,2,,31,32,24,28,,329,20.6
13,Minnesota Vikings,16,10,15,4,,3,2,2,36,1,1,,35,35,26,36,1,333,20.8
14,Buffalo Bills,16,18,14,,,1,1,,34,,0,,34,34,34,41,1,342,21.4
15,San Diego Chargers,16,11,25,,1,1,1,,39,2,2,,31,33,24,31,3,347,21.7
16,Chicago Bears,16,16,21,,,1,1,,39,,0,,38,39,26,33,,350,21.9
17,Cleveland Browns,16,16,19,,1,1,5,,42,,0,,41,41,19,28,,350,21.9
18,New York Jets,16,10,23,,,3,4,,40,2,2,,37,37,25,28,,356,22.3
19,Cincinnati Bengals,16,15,23,1,,1,2,1,43,,0,,40,40,22,23,,364,22.8
20,Dallas Cowboys,16,11,19,,1,3,1,1,36,,0,,33,33,38,44,1,365,22.8
21,Jacksonville Jaguars,16,14,25,,,1,1,,41,,0,,40,40,27,30,,367,22.9
22,Green Bay Packers,16,20,22,,,1,,,43,1,1,,39,39,25,30,3,380,23.8
23,San Francisco 49ers,16,14,22,,,1,2,,39,,0,,38,38,35,42,2,381,23.8
24,Oakland Raiders,16,23,20,,1,1,,,45,2,2,,43,43,23,31,1,388,24.3
25,Seattle Seahawks,16,13,25,1,,,1,,40,1,1,,39,39,37,41,,392,24.5
26,New Orleans Saints,16,14,21,,1,2,2,1,41,3,3,,37,37,34,39,1,393,24.6
27,Houston Texans,16,18,24,1,,1,1,,45,2,2,,43,43,25,29,1,394,24.6
28,Arizona Cardinals,16,13,36,1,1,,1,,52,1,1,,49,49,21,27,,426,26.6
29,Kansas City Chiefs,16,25,21,,1,,2,,49,1,1,,45,45,33,36,,440,27.5
30,Denver Broncos,16,26,20,1,1,,2,,50,1,1,,48,48,32,35,1,448,28.0
31,St. Louis Rams,16,26,20,,,3,4,,53,1,1,,52,52,31,32,,465,29.1
32,Detroit Lions,16,31,25,2,,,5,,63,,0,,62,62,25,29,1,517,32.3
,Avg Team,,14.9,20.2,0.5,0.4,1.0,1.6,0.3,38.9,0.9,2.0,0.0,36.6,36.8,26.4,31.3,0.7,352.5,22.0
,League Total,,476,646,16,13,33,52,10,1246,28,64,0,1170,1176,845,1000,21,11279,22.0
,Avg Tm/G,,0.93,1.26,0.03,0.03,0.06,0.10,0.02,2.43,0.05,0.13,0.00,2.29,2.30,1.65,1.95,0.04,22.0,
