,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Tm,G,FGA,FGM,FG%,XPA,XPM,XP%
1,Cincinnati Bengals,16,23,22,95.7%,40,40,100.0%
2,Detroit Lions,16,29,25,86.2%,62,62,100.0%
3,Kansas City Chiefs,16,36,33,91.7%,45,45,100.0%
4,Cleveland Browns,16,28,19,67.9%,41,41,100.0%
5,St. Louis Rams,16,32,31,96.9%,52,52,100.0%
6,Oakland Raiders,16,31,23,74.2%,43,43,100.0%
7,Seattle Seahawks,16,41,37,90.2%,39,39,100.0%
8,Jacksonville Jaguars,16,30,27,90.0%,40,40,100.0%
9,Washington Redskins,16,28,24,85.7%,31,30,96.8%
10,Dallas Cowboys,16,44,38,86.4%,33,33,100.0%
11,Miami Dolphins,16,32,29,90.6%,28,28,100.0%
12,San Francisco 49ers,16,42,35,83.3%,38,38,100.0%
13,Indianapolis Colts,16,38,33,86.8%,25,25,100.0%
14,Pittsburgh Steelers,16,27,24,88.9%,21,21,100.0%
15,Chicago Bears,16,33,26,78.8%,39,38,97.4%
16,Houston Texans,16,29,25,86.2%,43,43,100.0%
17,New York Jets,16,28,25,89.3%,37,37,100.0%
18,Buffalo Bills,16,41,34,82.9%,34,34,100.0%
19,Arizona Cardinals,16,27,21,77.8%,49,49,100.0%
20,Tennessee Titans,16,30,20,66.7%,24,24,100.0%
21,Atlanta Falcons,16,25,20,80.0%,35,35,100.0%
22,Minnesota Vikings,16,36,26,72.2%,35,35,100.0%
23,Denver Broncos,16,35,32,91.4%,48,48,100.0%
24,Tampa Bay Buccaneers,16,30,28,93.3%,33,33,100.0%
25,Baltimore Ravens,16,22,21,95.5%,25,25,100.0%
26,Carolina Panthers,16,28,24,85.7%,32,31,96.9%
27,San Diego Chargers,16,31,24,77.4%,33,31,93.9%
28,New England Patriots,16,21,17,81.0%,35,34,97.1%
29,New York Giants,16,26,19,73.1%,31,31,100.0%
30,Green Bay Packers,16,30,25,83.3%,39,39,100.0%
31,New Orleans Saints,16,39,34,87.2%,37,37,100.0%
32,Philadelphia Eagles,16,28,24,85.7%,29,29,100.0%
,Avg Team,,31.3,26.4,84.5%,36.8,36.6,99.5%
,League Total,,1000,845,84.5%,1176,1170,99.5%
,Avg Tm/G,,2.0,1.7,84.5%,2.3,2.3,99.5%
