,,,Punting,Punting,Punting,Punting
Rk,Tm,G,Pnt,Yds,Y/P,Blck
1,Denver Broncos,16,52,2413,46.4,
2,New England Patriots,16,75,3225,43.0,
3,San Diego Chargers,16,60,2634,43.9,
4,Indianapolis Colts,16,53,2380,44.9,
5,New Orleans Saints,16,66,2713,41.1,
6,Houston Texans,16,67,2975,44.4,
7,Buffalo Bills,16,64,2918,45.6,
8,New York Jets,16,69,2995,43.4,
9,Arizona Cardinals,16,61,2776,45.5,
10,New York Giants,16,76,3298,43.4,
11,Green Bay Packers,16,76,3367,44.3,
12,Jacksonville Jaguars,16,67,2881,43.0,
13,Atlanta Falcons,16,76,3458,45.5,
14,San Francisco 49ers,16,72,3053,42.4,
15,Miami Dolphins,16,61,2849,46.7,
16,Minnesota Vikings,16,80,3480,43.5,
17,Cleveland Browns,16,59,2401,40.7,
18,Tampa Bay Buccaneers,16,81,3532,43.6,
19,Pittsburgh Steelers,16,91,3868,42.5,
20,Dallas Cowboys,16,74,3278,44.3,
21,Philadelphia Eagles,16,101,4292,42.5,
22,Carolina Panthers,16,80,3672,45.9,
23,Kansas City Chiefs,16,50,2195,43.9,
24,St. Louis Rams,16,67,3028,45.2,
25,Washington Redskins,16,87,3724,42.8,
26,Baltimore Ravens,16,92,3938,42.8,
27,Tennessee Titans,16,87,3680,42.3,
28,Detroit Lions,16,59,2572,43.6,
29,Oakland Raiders,16,74,3197,43.2,
30,Seattle Seahawks,16,68,3012,44.3,
31,Chicago Bears,16,83,3528,42.5,
32,Cincinnati Bengals,16,79,3444,43.6,
,Avg Team,,72.1,3166.6,43.9,0.4
,League Total,,2307,101330,43.9,13
,Avg Tm/G,,4.5,197.9,43.9,0.0
