Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,Baltimore Ravens,16,5,16,,,,,,21,1,1,,20,20,17,23,1,201,12.6
2,New England Patriots,16,11,10,2,,1,,,24,1,1,,23,23,22,30,1,237,14.8
3,Chicago Bears,16,7,18,,,,4,,29,,1,,27,28,18,27,,255,15.9
4,Jacksonville Jaguars,16,14,12,2,,1,2,1,32,,0,,31,31,17,24,,274,17.1
5,Miami Dolphins,16,7,22,,,,2,,31,,0,,31,31,22,25,,283,17.7
6,New York Jets,16,14,19,,,,1,,34,4,5,,29,29,18,24,,295,18.4
7,San Diego Chargers,16,13,19,,,,1,,33,,0,,32,33,23,26,2,303,18.9
8,Carolina Panthers,16,10,22,1,,,,,33,2,2,,31,31,24,30,,305,19.1
9,Denver Broncos,16,13,13,,,1,2,,29,1,2,,27,27,34,42,,305,19.1
10,Buffalo Bills,16,14,18,,,1,2,,35,,2,,33,33,22,26,1,311,19.4
11,Pittsburgh Steelers,16,9,21,,1,2,3,,36,,0,,36,36,21,27,,315,19.7
12,Kansas City Chiefs,16,14,18,,,1,1,,34,,1,,33,33,26,32,,315,19.7
13,New Orleans Saints,16,10,26,,,,4,,40,,0,,40,40,14,18,,322,20.1
14,Minnesota Vikings,16,9,15,1,1,2,4,,32,,1,,31,31,34,40,1,327,20.4
15,Atlanta Falcons,16,14,20,,,,2,1,37,,0,,37,37,23,29,,328,20.5
16,Philadelphia Eagles,16,12,17,1,,4,2,,36,,1,,34,34,26,28,,328,20.5
17,Cincinnati Bengals,16,15,24,,,,1,,40,,1,,37,38,18,25,,331,20.7
18,Oakland Raiders,16,15,17,,,2,,,34,,0,,33,34,31,37,1,332,20.8
19,Seattle Seahawks,16,12,23,,,3,1,,39,1,3,,36,36,23,33,,341,21.3
20,Dallas Cowboys,16,12,25,,1,,2,,40,1,2,,38,38,22,25,2,350,21.9
21,Tampa Bay Buccaneers,16,11,26,1,,2,1,,41,,0,,41,41,22,30,,353,22.1
22,Cleveland Browns,16,14,20,,1,3,2,,40,1,2,,36,38,26,31,,356,22.3
23,Indianapolis Colts,16,20,16,1,2,1,1,,41,1,1,,40,40,24,35,,360,22.5
24,New York Giants,16,19,21,,,,1,1,42,2,2,,40,40,22,29,,362,22.6
25,Green Bay Packers,16,12,25,1,,1,2,,41,2,3,,38,38,26,27,,366,22.9
26,Houston Texans,16,16,22,1,1,2,,,42,,1,,39,40,25,29,,366,22.9
27,Washington Redskins,16,9,30,,,,2,,41,1,4,,36,36,30,34,1,376,23.5
28,St. Louis Rams,16,21,21,1,2,1,,,46,,0,,46,46,19,24,1,381,23.8
29,Arizona Cardinals,16,16,21,1,,3,1,,42,,0,,42,42,31,34,1,389,24.3
30,Detroit Lions,16,18,22,1,,1,2,,44,2,3,,40,41,30,33,,398,24.9
31,Tennessee Titans,16,20,24,,,,2,,46,1,2,,41,44,27,33,,400,25.0
32,San Francisco 49ers,16,18,25,1,,1,1,,46,,0,,46,46,30,32,,412,25.8
,Avg Team,,13.3,20.3,0.5,0.3,1.0,1.5,0.1,36.9,0.7,1.1,0.0,35.1,35.5,24.0,29.4,0.4,330.5,20.7
,League Total,,424,648,15,9,33,49,3,1181,21,35,0,1124,1135,767,942,12,10577,20.7
,Avg Tm/G,,0.83,1.27,0.03,0.02,0.06,0.10,0.01,2.31,0.04,0.07,0.00,2.20,2.22,1.50,1.84,0.02,20.7,
