Tm,W,L,W-L%,Pts,PtsO,PtDif,MoV
Philadelphia Eagles,10,6,.625,398,328,70,4.4
Dallas Cowboys,9,7,.563,425,350,75,4.7
New York Giants,8,8,.500,355,362,-7,-0.4
Washington Redskins,5,11,.313,307,376,-69,-4.3
Chicago Bears,13,3,.813,427,255,172,10.8
Green Bay Packers,8,8,.500,301,366,-65,-4.1
Minnesota Vikings,6,10,.375,282,327,-45,-2.8
Detroit Lions,3,13,.188,305,398,-93,-5.8
New Orleans Saints,10,6,.625,413,322,91,5.7
Carolina Panthers,8,8,.500,270,305,-35,-2.2
Atlanta Falcons,7,9,.438,292,328,-36,-2.3
Tampa Bay Buccaneers,4,12,.250,211,353,-142,-8.9
Seattle Seahawks,9,7,.563,335,341,-6,-0.4
St. Louis Rams,8,8,.500,367,381,-14,-0.9
San Francisco 49ers,7,9,.438,298,412,-114,-7.1
Arizona Cardinals,5,11,.313,314,389,-75,-4.7
