Tm,W,L,T,W-L%,Pts,PtsO,PtDif,MoV
Washington Redskins,10,6,0,.625,436,388,48,3.0
New York Giants,9,7,0,.563,429,344,85,5.3
Dallas Cowboys,8,8,0,.500,376,400,-24,-1.5
Philadelphia Eagles,4,12,0,.250,280,444,-164,-10.3
Green Bay Packers,11,5,0,.688,433,336,97,6.1
Minnesota Vikings,10,6,0,.625,379,348,31,1.9
Chicago Bears,10,6,0,.625,375,277,98,6.1
Detroit Lions,4,12,0,.250,372,437,-65,-4.1
Atlanta Falcons,13,3,0,.813,419,299,120,7.5
Carolina Panthers,7,9,0,.438,357,363,-6,-0.4
New Orleans Saints,7,9,0,.438,461,454,7,0.4
Tampa Bay Buccaneers,7,9,0,.438,389,394,-5,-0.3
San Francisco 49ers,11,4,1,.719,397,273,124,7.8
Seattle Seahawks,11,5,0,.688,412,245,167,10.4
St. Louis Rams,7,8,1,.469,299,348,-49,-3.1
Arizona Cardinals,5,11,0,.313,250,357,-107,-6.7
